group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,526917.0,ns,2624
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,996181.0,ns,5248
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,1498414.0,ns,7872
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,1991536.0,ns,10496
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,2500152.0,ns,13120
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,2996419.0,ns,15744
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,3487729.0,ns,18368
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,3985855.0,ns,20992
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,4485532.0,ns,23616
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,5262042.0,ns,26240
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,5535807.0,ns,28864
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,6010422.0,ns,31488
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,6472169.0,ns,34112
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,7062217.0,ns,36736
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,7688110.0,ns,39360
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,7991630.0,ns,41984
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,8505424.0,ns,44608
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,9444156.0,ns,47232
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,9511682.0,ns,49856
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,9956883.0,ns,52480
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,10572539.0,ns,55104
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,10989421.0,ns,57728
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,11542893.0,ns,60352
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,12173785.0,ns,62976
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,12496198.0,ns,65600
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,13094919.0,ns,68224
decode_lossy/all_bad,yore 0.3.0,256,256,bytes,13473575.0,ns,70848
