group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,631306.0,ns,17830
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,1261924.0,ns,35660
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,1884001.0,ns,53490
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,2513933.0,ns,71320
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,3388477.0,ns,89150
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,3848040.0,ns,106980
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,4502737.0,ns,124810
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,5023192.0,ns,142640
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,5647684.0,ns,160470
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,6309574.0,ns,178300
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,7019821.0,ns,196130
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,7556918.0,ns,213960
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,8186186.0,ns,231790
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,8968788.0,ns,249620
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,9412607.0,ns,267450
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,10208052.0,ns,285280
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,10649442.0,ns,303110
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,11294771.0,ns,320940
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,12517802.0,ns,338770
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,12850648.0,ns,356600
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,13176252.0,ns,374430
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,13872941.0,ns,392260
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,14428344.0,ns,410090
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,15280855.0,ns,427920
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,15717759.0,ns,445750
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,16308871.0,ns,463580
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,17175553.0,ns,481410
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,17771334.0,ns,499240
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,18215143.0,ns,517070
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,18974839.0,ns,534900
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,19551155.0,ns,552730
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,20178369.0,ns,570560
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,20985693.0,ns,588390
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,21764060.0,ns,606220
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,22311231.0,ns,624050
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,22740253.0,ns,641880
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,23368512.0,ns,659710
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,24006155.0,ns,677540
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,24667478.0,ns,695370
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,25353336.0,ns,713200
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,25938401.0,ns,731030
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,26722014.0,ns,748860
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,27252465.0,ns,766690
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,27760453.0,ns,784520
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,28438068.0,ns,802350
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,29114840.0,ns,820180
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,29724224.0,ns,838010
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,30160673.0,ns,855840
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,30990963.0,ns,873670
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,31695672.0,ns,891500
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,32261168.0,ns,909330
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,32942519.0,ns,927160
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,33367296.0,ns,944990
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,33972621.0,ns,962820
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,35026225.0,ns,980650
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,35619073.0,ns,998480
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,36136426.0,ns,1016310
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,36510486.0,ns,1034140
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,37183986.0,ns,1051970
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,38135868.0,ns,1069800
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,38472525.0,ns,1087630
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,39277073.0,ns,1105460
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,39733944.0,ns,1123290
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,40377349.0,ns,1141120
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,41353259.0,ns,1158950
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,41733821.0,ns,1176780
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,42829169.0,ns,1194610
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,42965931.0,ns,1212440
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,43660313.0,ns,1230270
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,45304975.0,ns,1248100
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,44859609.0,ns,1265930
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,45541316.0,ns,1283760
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,46922012.0,ns,1301590
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,46775390.0,ns,1319420
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,47827038.0,ns,1337250
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,48462575.0,ns,1355080
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,48876590.0,ns,1372910
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,49400541.0,ns,1390740
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,50185789.0,ns,1408570
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,50825993.0,ns,1426400
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,51538043.0,ns,1444230
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,51897737.0,ns,1462060
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,52655978.0,ns,1479890
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,53619940.0,ns,1497720
decode_lossy/all_bad,yore 0.3.0,8,8,bytes,53968970.0,ns,1515550
