group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,1140472.0,ns,154731
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,1958793.0,ns,309462
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,3172491.0,ns,464193
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,4113724.0,ns,618924
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,4999686.0,ns,773655
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,5919200.0,ns,928386
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,6840841.0,ns,1083117
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,7917025.0,ns,1237848
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,9043485.0,ns,1392579
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,10168059.0,ns,1547310
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,10752704.0,ns,1702041
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,11728098.0,ns,1856772
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,12731445.0,ns,2011503
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,13920275.0,ns,2166234
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,15010885.0,ns,2320965
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,15701244.0,ns,2475696
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,16680805.0,ns,2630427
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,17897108.0,ns,2785158
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,18761541.0,ns,2939889
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,19798173.0,ns,3094620
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,21253827.0,ns,3249351
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,21791306.0,ns,3404082
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,22985735.0,ns,3558813
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,23480397.0,ns,3713544
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,24950045.0,ns,3868275
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,25414864.0,ns,4023006
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,26754061.0,ns,4177737
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,28049187.0,ns,4332468
encode/all_bad/checked,oem_cp 1.1.0,240,240,bytes,28399343.0,ns,4487199
