group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,1124503.0,ns,154716
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,1953637.0,ns,309432
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,3188726.0,ns,464148
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,4098570.0,ns,618864
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,5012045.0,ns,773580
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,6806224.0,ns,928296
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,6892123.0,ns,1083012
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,7855184.0,ns,1237728
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,8792450.0,ns,1392444
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,9768576.0,ns,1547160
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,10858153.0,ns,1701876
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,11723595.0,ns,1856592
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,12753055.0,ns,2011308
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,13677808.0,ns,2166024
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,14655516.0,ns,2320740
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,15737986.0,ns,2475456
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,16795302.0,ns,2630172
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,17937547.0,ns,2784888
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,18937495.0,ns,2939604
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,19727025.0,ns,3094320
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,20518619.0,ns,3249036
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,22130613.0,ns,3403752
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,22930160.0,ns,3558468
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,23778297.0,ns,3713184
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,24464925.0,ns,3867900
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,25404038.0,ns,4022616
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,26594740.0,ns,4177332
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,27867925.0,ns,4332048
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,29171495.0,ns,4486764
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,29312859.0,ns,4641480
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,30688403.0,ns,4796196
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,31320521.0,ns,4950912
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,32789128.0,ns,5105628
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,33768753.0,ns,5260344
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,35047067.0,ns,5415060
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,35390477.0,ns,5569776
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,36485538.0,ns,5724492
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,37476168.0,ns,5879208
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,38544143.0,ns,6033924
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,39847731.0,ns,6188640
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,40606031.0,ns,6343356
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,41532578.0,ns,6498072
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,42531902.0,ns,6652788
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,43282375.0,ns,6807504
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,45538171.0,ns,6962220
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,44953544.0,ns,7116936
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,46487088.0,ns,7271652
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,47611134.0,ns,7426368
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,48104301.0,ns,7581084
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,49005121.0,ns,7735800
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,51061002.0,ns,7890516
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,51573442.0,ns,8045232
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,52512242.0,ns,8199948
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,53618607.0,ns,8354664
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,54486260.0,ns,8509380
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,55736661.0,ns,8664096
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,56483371.0,ns,8818812
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,56894583.0,ns,8973528
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,58527971.0,ns,9128244
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,59250426.0,ns,9282960
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,60266320.0,ns,9437676
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,61874288.0,ns,9592392
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,62285969.0,ns,9747108
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,63256368.0,ns,9901824
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,64795566.0,ns,10056540
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,65406981.0,ns,10211256
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,65951755.0,ns,10365972
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,67112443.0,ns,10520688
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,67869340.0,ns,10675404
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,68800311.0,ns,10830120
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,70854506.0,ns,10984836
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,71391026.0,ns,11139552
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,72189398.0,ns,11294268
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,73727046.0,ns,11448984
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,74716454.0,ns,11603700
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,75048891.0,ns,11758416
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,75771905.0,ns,11913132
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,78155253.0,ns,12067848
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,78108520.0,ns,12222564
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,79762834.0,ns,12377280
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,80266998.0,ns,12531996
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,81650179.0,ns,12686712
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,82235674.0,ns,12841428
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,84811020.0,ns,12996144
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,83749762.0,ns,13150860
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,86180078.0,ns,13305576
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,86666966.0,ns,13460292
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,87411351.0,ns,13615008
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,87415409.0,ns,13769724
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,90532726.0,ns,13924440
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,89802226.0,ns,14079156
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,90298453.0,ns,14233872
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,92319802.0,ns,14388588
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,93438143.0,ns,14543304
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,95889339.0,ns,14698020
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,95365019.0,ns,14852736
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,96641881.0,ns,15007452
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,96598903.0,ns,15162168
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,98027344.0,ns,15316884
encode/all_bad/checked,oem_cp 1.1.0,480,480,bytes,99032651.0,ns,15471600
