group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,1109950.0,ns,27449
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,2039854.0,ns,54898
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,3106225.0,ns,82347
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,4009145.0,ns,109796
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,5010840.0,ns,137245
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,5981996.0,ns,164694
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,6953457.0,ns,192143
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,7900709.0,ns,219592
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,8922451.0,ns,247041
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,9898731.0,ns,274490
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,10882257.0,ns,301939
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,11820729.0,ns,329388
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,12839705.0,ns,356837
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,13857400.0,ns,384286
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,14910990.0,ns,411735
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,15877417.0,ns,439184
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,16820054.0,ns,466633
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,17771051.0,ns,494082
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,18857811.0,ns,521531
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,19778934.0,ns,548980
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,20870997.0,ns,576429
encode/all_bad/checked,rust-encoding 0.2.33,120,120,bytes,21810238.0,ns,603878
