group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,1038306.0,ns,27500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,1965986.0,ns,55000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,3297873.0,ns,82500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,3961033.0,ns,110000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,5005437.0,ns,137500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,6015644.0,ns,165000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,6916749.0,ns,192500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,7956707.0,ns,220000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,8939463.0,ns,247500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,9867780.0,ns,275000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,10816462.0,ns,302500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,11835174.0,ns,330000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,12854827.0,ns,357500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,13956646.0,ns,385000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,14773589.0,ns,412500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,15826276.0,ns,440000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,16899482.0,ns,467500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,18051706.0,ns,495000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,18814576.0,ns,522500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,19785193.0,ns,550000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,20990791.0,ns,577500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,21710563.0,ns,605000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,22791067.0,ns,632500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,23704849.0,ns,660000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,24706528.0,ns,687500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,25721648.0,ns,715000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,26707203.0,ns,742500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,27698080.0,ns,770000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,28784924.0,ns,797500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,29646043.0,ns,825000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,30679841.0,ns,852500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,31637545.0,ns,880000
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,32599206.0,ns,907500
encode/all_bad/checked,rust-encoding 0.2.33,240,240,bytes,33499956.0,ns,935000
