group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,yore 0.1.0,120,120,bytes,1105013.0,ns,17402
encode/all_bad/checked,yore 0.1.0,120,120,bytes,1975161.0,ns,34804
encode/all_bad/checked,yore 0.1.0,120,120,bytes,3102048.0,ns,52206
encode/all_bad/checked,yore 0.1.0,120,120,bytes,4144599.0,ns,69608
encode/all_bad/checked,yore 0.1.0,120,120,bytes,5060776.0,ns,87010
encode/all_bad/checked,yore 0.1.0,120,120,bytes,5948867.0,ns,104412
encode/all_bad/checked,yore 0.1.0,120,120,bytes,6889220.0,ns,121814
encode/all_bad/checked,yore 0.1.0,120,120,bytes,7923095.0,ns,139216
encode/all_bad/checked,yore 0.1.0,120,120,bytes,8885813.0,ns,156618
encode/all_bad/checked,yore 0.1.0,120,120,bytes,9878668.0,ns,174020
encode/all_bad/checked,yore 0.1.0,120,120,bytes,10917641.0,ns,191422
encode/all_bad/checked,yore 0.1.0,120,120,bytes,11848309.0,ns,208824
encode/all_bad/checked,yore 0.1.0,120,120,bytes,12873989.0,ns,226226
encode/all_bad/checked,yore 0.1.0,120,120,bytes,13803788.0,ns,243628
encode/all_bad/checked,yore 0.1.0,120,120,bytes,14866953.0,ns,261030
encode/all_bad/checked,yore 0.1.0,120,120,bytes,15750978.0,ns,278432
encode/all_bad/checked,yore 0.1.0,120,120,bytes,16714359.0,ns,295834
encode/all_bad/checked,yore 0.1.0,120,120,bytes,17946504.0,ns,313236
encode/all_bad/checked,yore 0.1.0,120,120,bytes,18622080.0,ns,330638
encode/all_bad/checked,yore 0.1.0,120,120,bytes,19802216.0,ns,348040
encode/all_bad/checked,yore 0.1.0,120,120,bytes,20806739.0,ns,365442
encode/all_bad/checked,yore 0.1.0,120,120,bytes,21740071.0,ns,382844
encode/all_bad/checked,yore 0.1.0,120,120,bytes,22605071.0,ns,400246
encode/all_bad/checked,yore 0.1.0,120,120,bytes,23627375.0,ns,417648
encode/all_bad/checked,yore 0.1.0,120,120,bytes,24953206.0,ns,435050
encode/all_bad/checked,yore 0.1.0,120,120,bytes,25766682.0,ns,452452
encode/all_bad/checked,yore 0.1.0,120,120,bytes,26701632.0,ns,469854
encode/all_bad/checked,yore 0.1.0,120,120,bytes,27606399.0,ns,487256
encode/all_bad/checked,yore 0.1.0,120,120,bytes,28708600.0,ns,504658
encode/all_bad/checked,yore 0.1.0,120,120,bytes,29776844.0,ns,522060
encode/all_bad/checked,yore 0.1.0,120,120,bytes,30676241.0,ns,539462
encode/all_bad/checked,yore 0.1.0,120,120,bytes,31649920.0,ns,556864
encode/all_bad/checked,yore 0.1.0,120,120,bytes,32704048.0,ns,574266
encode/all_bad/checked,yore 0.1.0,120,120,bytes,33567870.0,ns,591668
encode/all_bad/checked,yore 0.1.0,120,120,bytes,34553291.0,ns,609070
encode/all_bad/checked,yore 0.1.0,120,120,bytes,35541011.0,ns,626472
encode/all_bad/checked,yore 0.1.0,120,120,bytes,36540071.0,ns,643874
encode/all_bad/checked,yore 0.1.0,120,120,bytes,37582470.0,ns,661276
encode/all_bad/checked,yore 0.1.0,120,120,bytes,38414597.0,ns,678678
encode/all_bad/checked,yore 0.1.0,120,120,bytes,39702000.0,ns,696080
encode/all_bad/checked,yore 0.1.0,120,120,bytes,40222302.0,ns,713482
encode/all_bad/checked,yore 0.1.0,120,120,bytes,41509671.0,ns,730884
encode/all_bad/checked,yore 0.1.0,120,120,bytes,42432578.0,ns,748286
encode/all_bad/checked,yore 0.1.0,120,120,bytes,43814991.0,ns,765688
encode/all_bad/checked,yore 0.1.0,120,120,bytes,44311124.0,ns,783090
encode/all_bad/checked,yore 0.1.0,120,120,bytes,45238200.0,ns,800492
encode/all_bad/checked,yore 0.1.0,120,120,bytes,46455429.0,ns,817894
encode/all_bad/checked,yore 0.1.0,120,120,bytes,48379512.0,ns,835296
encode/all_bad/checked,yore 0.1.0,120,120,bytes,48681263.0,ns,852698
encode/all_bad/checked,yore 0.1.0,120,120,bytes,49278822.0,ns,870100
encode/all_bad/checked,yore 0.1.0,120,120,bytes,50432747.0,ns,887502
encode/all_bad/checked,yore 0.1.0,120,120,bytes,51124302.0,ns,904904
encode/all_bad/checked,yore 0.1.0,120,120,bytes,52497494.0,ns,922306
encode/all_bad/checked,yore 0.1.0,120,120,bytes,53389020.0,ns,939708
encode/all_bad/checked,yore 0.1.0,120,120,bytes,54089281.0,ns,957110
encode/all_bad/checked,yore 0.1.0,120,120,bytes,55475878.0,ns,974512
encode/all_bad/checked,yore 0.1.0,120,120,bytes,56032772.0,ns,991914
encode/all_bad/checked,yore 0.1.0,120,120,bytes,57417778.0,ns,1009316
encode/all_bad/checked,yore 0.1.0,120,120,bytes,57994313.0,ns,1026718
encode/all_bad/checked,yore 0.1.0,120,120,bytes,59353788.0,ns,1044120
encode/all_bad/checked,yore 0.1.0,120,120,bytes,60142797.0,ns,1061522
encode/all_bad/checked,yore 0.1.0,120,120,bytes,61189896.0,ns,1078924
encode/all_bad/checked,yore 0.1.0,120,120,bytes,62368934.0,ns,1096326
encode/all_bad/checked,yore 0.1.0,120,120,bytes,62971400.0,ns,1113728
encode/all_bad/checked,yore 0.1.0,120,120,bytes,63946767.0,ns,1131130
encode/all_bad/checked,yore 0.1.0,120,120,bytes,64869488.0,ns,1148532
encode/all_bad/checked,yore 0.1.0,120,120,bytes,66331039.0,ns,1165934
encode/all_bad/checked,yore 0.1.0,120,120,bytes,67129534.0,ns,1183336
encode/all_bad/checked,yore 0.1.0,120,120,bytes,68222361.0,ns,1200738
encode/all_bad/checked,yore 0.1.0,120,120,bytes,69390142.0,ns,1218140
encode/all_bad/checked,yore 0.1.0,120,120,bytes,69808589.0,ns,1235542
encode/all_bad/checked,yore 0.1.0,120,120,bytes,71567633.0,ns,1252944
encode/all_bad/checked,yore 0.1.0,120,120,bytes,71854163.0,ns,1270346
encode/all_bad/checked,yore 0.1.0,120,120,bytes,73196316.0,ns,1287748
encode/all_bad/checked,yore 0.1.0,120,120,bytes,73786259.0,ns,1305150
encode/all_bad/checked,yore 0.1.0,120,120,bytes,75263661.0,ns,1322552
encode/all_bad/checked,yore 0.1.0,120,120,bytes,75996026.0,ns,1339954
encode/all_bad/checked,yore 0.1.0,120,120,bytes,76777606.0,ns,1357356
encode/all_bad/checked,yore 0.1.0,120,120,bytes,77999589.0,ns,1374758
encode/all_bad/checked,yore 0.1.0,120,120,bytes,78832301.0,ns,1392160
encode/all_bad/checked,yore 0.1.0,120,120,bytes,80180091.0,ns,1409562
encode/all_bad/checked,yore 0.1.0,120,120,bytes,81064479.0,ns,1426964
encode/all_bad/checked,yore 0.1.0,120,120,bytes,81748620.0,ns,1444366
encode/all_bad/checked,yore 0.1.0,120,120,bytes,82881193.0,ns,1461768
encode/all_bad/checked,yore 0.1.0,120,120,bytes,83698741.0,ns,1479170
encode/all_bad/checked,yore 0.1.0,120,120,bytes,84914870.0,ns,1496572
encode/all_bad/checked,yore 0.1.0,120,120,bytes,85807263.0,ns,1513974
encode/all_bad/checked,yore 0.1.0,120,120,bytes,86751137.0,ns,1531376
encode/all_bad/checked,yore 0.1.0,120,120,bytes,87784979.0,ns,1548778
encode/all_bad/checked,yore 0.1.0,120,120,bytes,88996771.0,ns,1566180
encode/all_bad/checked,yore 0.1.0,120,120,bytes,89771392.0,ns,1583582
encode/all_bad/checked,yore 0.1.0,120,120,bytes,91401725.0,ns,1600984
encode/all_bad/checked,yore 0.1.0,120,120,bytes,91988274.0,ns,1618386
encode/all_bad/checked,yore 0.1.0,120,120,bytes,92721772.0,ns,1635788
encode/all_bad/checked,yore 0.1.0,120,120,bytes,93682842.0,ns,1653190
encode/all_bad/checked,yore 0.1.0,120,120,bytes,94894743.0,ns,1670592
encode/all_bad/checked,yore 0.1.0,120,120,bytes,95754115.0,ns,1687994
encode/all_bad/checked,yore 0.1.0,120,120,bytes,96588152.0,ns,1705396
encode/all_bad/checked,yore 0.1.0,120,120,bytes,98252744.0,ns,1722798
encode/all_bad/checked,yore 0.1.0,120,120,bytes,98842379.0,ns,1740200
