group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,yore 0.1.0,480,480,bytes,1136692.0,ns,4941
encode/all_bad/checked,yore 0.1.0,480,480,bytes,1956653.0,ns,9882
encode/all_bad/checked,yore 0.1.0,480,480,bytes,3087371.0,ns,14823
encode/all_bad/checked,yore 0.1.0,480,480,bytes,4295839.0,ns,19764
encode/all_bad/checked,yore 0.1.0,480,480,bytes,4953482.0,ns,24705
encode/all_bad/checked,yore 0.1.0,480,480,bytes,5950948.0,ns,29646
encode/all_bad/checked,yore 0.1.0,480,480,bytes,6908375.0,ns,34587
encode/all_bad/checked,yore 0.1.0,480,480,bytes,7893490.0,ns,39528
encode/all_bad/checked,yore 0.1.0,480,480,bytes,9407125.0,ns,44469
encode/all_bad/checked,yore 0.1.0,480,480,bytes,9796484.0,ns,49410
encode/all_bad/checked,yore 0.1.0,480,480,bytes,11069983.0,ns,54351
encode/all_bad/checked,yore 0.1.0,480,480,bytes,11659176.0,ns,59292
encode/all_bad/checked,yore 0.1.0,480,480,bytes,12658206.0,ns,64233
encode/all_bad/checked,yore 0.1.0,480,480,bytes,13844115.0,ns,69174
encode/all_bad/checked,yore 0.1.0,480,480,bytes,14610120.0,ns,74115
encode/all_bad/checked,yore 0.1.0,480,480,bytes,15594753.0,ns,79056
encode/all_bad/checked,yore 0.1.0,480,480,bytes,16835582.0,ns,83997
encode/all_bad/checked,yore 0.1.0,480,480,bytes,17814147.0,ns,88938
encode/all_bad/checked,yore 0.1.0,480,480,bytes,18940117.0,ns,93879
encode/all_bad/checked,yore 0.1.0,480,480,bytes,20302248.0,ns,98820
encode/all_bad/checked,yore 0.1.0,480,480,bytes,20392262.0,ns,103761
encode/all_bad/checked,yore 0.1.0,480,480,bytes,21961987.0,ns,108702
encode/all_bad/checked,yore 0.1.0,480,480,bytes,23129452.0,ns,113643
encode/all_bad/checked,yore 0.1.0,480,480,bytes,23333970.0,ns,118584
encode/all_bad/checked,yore 0.1.0,480,480,bytes,25142692.0,ns,123525
encode/all_bad/checked,yore 0.1.0,480,480,bytes,25671933.0,ns,128466
encode/all_bad/checked,yore 0.1.0,480,480,bytes,26961491.0,ns,133407
encode/all_bad/checked,yore 0.1.0,480,480,bytes,27348142.0,ns,138348
encode/all_bad/checked,yore 0.1.0,480,480,bytes,28024726.0,ns,143289
encode/all_bad/checked,yore 0.1.0,480,480,bytes,29357987.0,ns,148230
encode/all_bad/checked,yore 0.1.0,480,480,bytes,30255810.0,ns,153171
encode/all_bad/checked,yore 0.1.0,480,480,bytes,31294766.0,ns,158112
encode/all_bad/checked,yore 0.1.0,480,480,bytes,33044450.0,ns,163053
encode/all_bad/checked,yore 0.1.0,480,480,bytes,34048929.0,ns,167994
encode/all_bad/checked,yore 0.1.0,480,480,bytes,35218127.0,ns,172935
encode/all_bad/checked,yore 0.1.0,480,480,bytes,36178937.0,ns,177876
encode/all_bad/checked,yore 0.1.0,480,480,bytes,36603111.0,ns,182817
encode/all_bad/checked,yore 0.1.0,480,480,bytes,37398375.0,ns,187758
encode/all_bad/checked,yore 0.1.0,480,480,bytes,38272252.0,ns,192699
encode/all_bad/checked,yore 0.1.0,480,480,bytes,39068965.0,ns,197640
encode/all_bad/checked,yore 0.1.0,480,480,bytes,41456990.0,ns,202581
encode/all_bad/checked,yore 0.1.0,480,480,bytes,41456340.0,ns,207522
encode/all_bad/checked,yore 0.1.0,480,480,bytes,42722527.0,ns,212463
encode/all_bad/checked,yore 0.1.0,480,480,bytes,43124196.0,ns,217404
encode/all_bad/checked,yore 0.1.0,480,480,bytes,45418758.0,ns,222345
encode/all_bad/checked,yore 0.1.0,480,480,bytes,44756477.0,ns,227286
encode/all_bad/checked,yore 0.1.0,480,480,bytes,46111229.0,ns,232227
encode/all_bad/checked,yore 0.1.0,480,480,bytes,46744430.0,ns,237168
encode/all_bad/checked,yore 0.1.0,480,480,bytes,47944025.0,ns,242109
encode/all_bad/checked,yore 0.1.0,480,480,bytes,48777896.0,ns,247050
encode/all_bad/checked,yore 0.1.0,480,480,bytes,50540909.0,ns,251991
encode/all_bad/checked,yore 0.1.0,480,480,bytes,52521836.0,ns,256932
encode/all_bad/checked,yore 0.1.0,480,480,bytes,52765703.0,ns,261873
encode/all_bad/checked,yore 0.1.0,480,480,bytes,54316957.0,ns,266814
encode/all_bad/checked,yore 0.1.0,480,480,bytes,54832531.0,ns,271755
encode/all_bad/checked,yore 0.1.0,480,480,bytes,55936344.0,ns,276696
encode/all_bad/checked,yore 0.1.0,480,480,bytes,55808666.0,ns,281637
encode/all_bad/checked,yore 0.1.0,480,480,bytes,58168089.0,ns,286578
encode/all_bad/checked,yore 0.1.0,480,480,bytes,58145949.0,ns,291519
encode/all_bad/checked,yore 0.1.0,480,480,bytes,59262751.0,ns,296460
encode/all_bad/checked,yore 0.1.0,480,480,bytes,61107699.0,ns,301401
encode/all_bad/checked,yore 0.1.0,480,480,bytes,62488121.0,ns,306342
encode/all_bad/checked,yore 0.1.0,480,480,bytes,61781692.0,ns,311283
encode/all_bad/checked,yore 0.1.0,480,480,bytes,63482547.0,ns,316224
encode/all_bad/checked,yore 0.1.0,480,480,bytes,63743817.0,ns,321165
encode/all_bad/checked,yore 0.1.0,480,480,bytes,65376739.0,ns,326106
encode/all_bad/checked,yore 0.1.0,480,480,bytes,66428864.0,ns,331047
encode/all_bad/checked,yore 0.1.0,480,480,bytes,67618409.0,ns,335988
encode/all_bad/checked,yore 0.1.0,480,480,bytes,67614493.0,ns,340929
encode/all_bad/checked,yore 0.1.0,480,480,bytes,68193931.0,ns,345870
encode/all_bad/checked,yore 0.1.0,480,480,bytes,70261368.0,ns,350811
encode/all_bad/checked,yore 0.1.0,480,480,bytes,71429440.0,ns,355752
encode/all_bad/checked,yore 0.1.0,480,480,bytes,71218054.0,ns,360693
encode/all_bad/checked,yore 0.1.0,480,480,bytes,72688459.0,ns,365634
encode/all_bad/checked,yore 0.1.0,480,480,bytes,72949071.0,ns,370575
encode/all_bad/checked,yore 0.1.0,480,480,bytes,74696935.0,ns,375516
encode/all_bad/checked,yore 0.1.0,480,480,bytes,75629611.0,ns,380457
encode/all_bad/checked,yore 0.1.0,480,480,bytes,77322876.0,ns,385398
encode/all_bad/checked,yore 0.1.0,480,480,bytes,78644322.0,ns,390339
encode/all_bad/checked,yore 0.1.0,480,480,bytes,78563950.0,ns,395280
encode/all_bad/checked,yore 0.1.0,480,480,bytes,80420910.0,ns,400221
encode/all_bad/checked,yore 0.1.0,480,480,bytes,80381964.0,ns,405162
encode/all_bad/checked,yore 0.1.0,480,480,bytes,81637948.0,ns,410103
encode/all_bad/checked,yore 0.1.0,480,480,bytes,83841413.0,ns,415044
encode/all_bad/checked,yore 0.1.0,480,480,bytes,83618208.0,ns,419985
encode/all_bad/checked,yore 0.1.0,480,480,bytes,85642208.0,ns,424926
encode/all_bad/checked,yore 0.1.0,480,480,bytes,85458247.0,ns,429867
encode/all_bad/checked,yore 0.1.0,480,480,bytes,87161841.0,ns,434808
encode/all_bad/checked,yore 0.1.0,480,480,bytes,87020698.0,ns,439749
encode/all_bad/checked,yore 0.1.0,480,480,bytes,88278763.0,ns,444690
encode/all_bad/checked,yore 0.1.0,480,480,bytes,88644429.0,ns,449631
encode/all_bad/checked,yore 0.1.0,480,480,bytes,91610638.0,ns,454572
encode/all_bad/checked,yore 0.1.0,480,480,bytes,91016365.0,ns,459513
encode/all_bad/checked,yore 0.1.0,480,480,bytes,92909726.0,ns,464454
encode/all_bad/checked,yore 0.1.0,480,480,bytes,94516798.0,ns,469395
encode/all_bad/checked,yore 0.1.0,480,480,bytes,94920151.0,ns,474336
encode/all_bad/checked,yore 0.1.0,480,480,bytes,95743296.0,ns,479277
encode/all_bad/checked,yore 0.1.0,480,480,bytes,97184273.0,ns,484218
encode/all_bad/checked,yore 0.1.0,480,480,bytes,98990319.0,ns,489159
