group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,1104432.0,ns,3521
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,1977052.0,ns,7042
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,3122197.0,ns,10563
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,4123693.0,ns,14084
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,5024815.0,ns,17605
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,5997820.0,ns,21126
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,6938679.0,ns,24647
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,7901150.0,ns,28168
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,8892540.0,ns,31689
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,9887304.0,ns,35210
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,10874693.0,ns,38731
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,11870052.0,ns,42252
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,12868207.0,ns,45773
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,13864626.0,ns,49294
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,14835346.0,ns,52815
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,15884863.0,ns,56336
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,16877719.0,ns,59857
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,17838114.0,ns,63378
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,18742311.0,ns,66899
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,19827728.0,ns,70420
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,20680265.0,ns,73941
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,21727893.0,ns,77462
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,22705373.0,ns,80983
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,23732914.0,ns,84504
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,24716556.0,ns,88025
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,25698287.0,ns,91546
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,26721309.0,ns,95067
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,27762588.0,ns,98588
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,28634226.0,ns,102109
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,29720808.0,ns,105630
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,30594901.0,ns,109151
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,31657568.0,ns,112672
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,32556448.0,ns,116193
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,33591061.0,ns,119714
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,34678822.0,ns,123235
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,35665016.0,ns,126756
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,36628934.0,ns,130277
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,37540929.0,ns,133798
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,38541847.0,ns,137319
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,39616835.0,ns,140840
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,40551995.0,ns,144361
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,42015584.0,ns,147882
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,42686719.0,ns,151403
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,43600843.0,ns,154924
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,44474983.0,ns,158445
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,47511323.0,ns,161966
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,46467555.0,ns,165487
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,47480674.0,ns,169008
encode/all_bad/lossy,oem_cp 1.1.0,120,120,bytes,48534718.0,ns,172529
