group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,1152059.0,ns,718
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,1975413.0,ns,1436
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,3090750.0,ns,2154
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,4116857.0,ns,2872
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,5045971.0,ns,3590
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,5965512.0,ns,4308
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,6942160.0,ns,5026
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,7906909.0,ns,5744
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,8980910.0,ns,6462
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,9876105.0,ns,7180
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,10873355.0,ns,7898
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,11854192.0,ns,8616
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,12954224.0,ns,9334
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,13924939.0,ns,10052
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,14821083.0,ns,10770
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,15817249.0,ns,11488
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,16793987.0,ns,12206
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,17783093.0,ns,12924
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,18825002.0,ns,13642
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,19756565.0,ns,14360
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,20805699.0,ns,15078
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,21823503.0,ns,15796
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,22719898.0,ns,16514
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,23710632.0,ns,17232
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,24746131.0,ns,17950
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,25687900.0,ns,18668
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,26669662.0,ns,19386
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,27664918.0,ns,20104
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,28884979.0,ns,20822
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,29665805.0,ns,21540
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,30798640.0,ns,22258
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,31668230.0,ns,22976
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,32601747.0,ns,23694
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,33640322.0,ns,24412
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,34609937.0,ns,25130
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,35569000.0,ns,25848
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,36582434.0,ns,26566
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,37592940.0,ns,27284
encode/all_bad/lossy,rust-encoding 0.2.33,240,240,bytes,38664661.0,ns,28002
