group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,1156392.0,ns,1812
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,1973292.0,ns,3624
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,3214097.0,ns,5436
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,3994389.0,ns,7248
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,4937755.0,ns,9060
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,5912067.0,ns,10872
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,6871191.0,ns,12684
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,7885519.0,ns,14496
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,8882703.0,ns,16308
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,9866161.0,ns,18120
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,10860058.0,ns,19932
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,11857148.0,ns,21744
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,12858369.0,ns,23556
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,13865605.0,ns,25368
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,14887854.0,ns,27180
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,15772530.0,ns,28992
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,16896218.0,ns,30804
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,17745627.0,ns,32616
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,18746345.0,ns,34428
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,19688442.0,ns,36240
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,20768319.0,ns,38052
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,21712470.0,ns,39864
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,22618951.0,ns,41676
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,23710868.0,ns,43488
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,24662281.0,ns,45300
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,25706118.0,ns,47112
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,26565694.0,ns,48924
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,27569480.0,ns,50736
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,28678677.0,ns,52548
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,29602493.0,ns,54360
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,30627042.0,ns,56172
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,31560133.0,ns,57984
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,32634657.0,ns,59796
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,33559455.0,ns,61608
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,34675055.0,ns,63420
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,35550252.0,ns,65232
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,36296571.0,ns,67044
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,37525895.0,ns,68856
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,38492994.0,ns,70668
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,39421127.0,ns,72480
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,40421868.0,ns,74292
encode/all_bad/lossy,yore 0.1.0,480,480,bytes,41532566.0,ns,76104
