group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,oem_cp 1.1.0,320,320,bytes,1144574.0,ns,1551
encode/ascii,oem_cp 1.1.0,320,320,bytes,1991849.0,ns,3102
encode/ascii,oem_cp 1.1.0,320,320,bytes,3083719.0,ns,4653
encode/ascii,oem_cp 1.1.0,320,320,bytes,4122514.0,ns,6204
encode/ascii,oem_cp 1.1.0,320,320,bytes,5087307.0,ns,7755
encode/ascii,oem_cp 1.1.0,320,320,bytes,5984728.0,ns,9306
encode/ascii,oem_cp 1.1.0,320,320,bytes,6902327.0,ns,10857
encode/ascii,oem_cp 1.1.0,320,320,bytes,7887495.0,ns,12408
encode/ascii,oem_cp 1.1.0,320,320,bytes,8943753.0,ns,13959
encode/ascii,oem_cp 1.1.0,320,320,bytes,9884396.0,ns,15510
encode/ascii,oem_cp 1.1.0,320,320,bytes,10895572.0,ns,17061
encode/ascii,oem_cp 1.1.0,320,320,bytes,11961269.0,ns,18612
encode/ascii,oem_cp 1.1.0,320,320,bytes,12874677.0,ns,20163
encode/ascii,oem_cp 1.1.0,320,320,bytes,13903197.0,ns,21714
encode/ascii,oem_cp 1.1.0,320,320,bytes,14816158.0,ns,23265
encode/ascii,oem_cp 1.1.0,320,320,bytes,15749166.0,ns,24816
encode/ascii,oem_cp 1.1.0,320,320,bytes,16766026.0,ns,26367
encode/ascii,oem_cp 1.1.0,320,320,bytes,17747544.0,ns,27918
encode/ascii,oem_cp 1.1.0,320,320,bytes,18795043.0,ns,29469
encode/ascii,oem_cp 1.1.0,320,320,bytes,19798875.0,ns,31020
encode/ascii,oem_cp 1.1.0,320,320,bytes,20687759.0,ns,32571
encode/ascii,oem_cp 1.1.0,320,320,bytes,21713719.0,ns,34122
encode/ascii,oem_cp 1.1.0,320,320,bytes,22710236.0,ns,35673
encode/ascii,oem_cp 1.1.0,320,320,bytes,23824981.0,ns,37224
encode/ascii,oem_cp 1.1.0,320,320,bytes,24586655.0,ns,38775
encode/ascii,oem_cp 1.1.0,320,320,bytes,25632720.0,ns,40326
encode/ascii,oem_cp 1.1.0,320,320,bytes,26638251.0,ns,41877
encode/ascii,oem_cp 1.1.0,320,320,bytes,27647981.0,ns,43428
encode/ascii,oem_cp 1.1.0,320,320,bytes,28687005.0,ns,44979
encode/ascii,oem_cp 1.1.0,320,320,bytes,29523427.0,ns,46530
encode/ascii,oem_cp 1.1.0,320,320,bytes,30523164.0,ns,48081
encode/ascii,oem_cp 1.1.0,320,320,bytes,31711727.0,ns,49632
encode/ascii,oem_cp 1.1.0,320,320,bytes,32557886.0,ns,51183
encode/ascii,oem_cp 1.1.0,320,320,bytes,33482444.0,ns,52734
encode/ascii,oem_cp 1.1.0,320,320,bytes,34577549.0,ns,54285
encode/ascii,oem_cp 1.1.0,320,320,bytes,35694806.0,ns,55836
encode/ascii,oem_cp 1.1.0,320,320,bytes,36567107.0,ns,57387
encode/ascii,oem_cp 1.1.0,320,320,bytes,37516537.0,ns,58938
encode/ascii,oem_cp 1.1.0,320,320,bytes,38656701.0,ns,60489
encode/ascii,oem_cp 1.1.0,320,320,bytes,39554511.0,ns,62040
encode/ascii,oem_cp 1.1.0,320,320,bytes,40492165.0,ns,63591
encode/ascii,oem_cp 1.1.0,320,320,bytes,41439656.0,ns,65142
encode/ascii,oem_cp 1.1.0,320,320,bytes,42503904.0,ns,66693
encode/ascii,oem_cp 1.1.0,320,320,bytes,43431416.0,ns,68244
encode/ascii,oem_cp 1.1.0,320,320,bytes,44582185.0,ns,69795
encode/ascii,oem_cp 1.1.0,320,320,bytes,45591986.0,ns,71346
encode/ascii,oem_cp 1.1.0,320,320,bytes,46382901.0,ns,72897
encode/ascii,oem_cp 1.1.0,320,320,bytes,47400222.0,ns,74448
encode/ascii,oem_cp 1.1.0,320,320,bytes,48339883.0,ns,75999
encode/ascii,oem_cp 1.1.0,320,320,bytes,49416588.0,ns,77550
encode/ascii,oem_cp 1.1.0,320,320,bytes,50450904.0,ns,79101
encode/ascii,oem_cp 1.1.0,320,320,bytes,51395164.0,ns,80652
encode/ascii,oem_cp 1.1.0,320,320,bytes,52329267.0,ns,82203
encode/ascii,oem_cp 1.1.0,320,320,bytes,53364435.0,ns,83754
encode/ascii,oem_cp 1.1.0,320,320,bytes,54402164.0,ns,85305
encode/ascii,oem_cp 1.1.0,320,320,bytes,55407582.0,ns,86856
encode/ascii,oem_cp 1.1.0,320,320,bytes,56261873.0,ns,88407
encode/ascii,oem_cp 1.1.0,320,320,bytes,57324048.0,ns,89958
encode/ascii,oem_cp 1.1.0,320,320,bytes,58285687.0,ns,91509
encode/ascii,oem_cp 1.1.0,320,320,bytes,59345227.0,ns,93060
encode/ascii,oem_cp 1.1.0,320,320,bytes,60338055.0,ns,94611
encode/ascii,oem_cp 1.1.0,320,320,bytes,61165602.0,ns,96162
encode/ascii,oem_cp 1.1.0,320,320,bytes,62244465.0,ns,97713
encode/ascii,oem_cp 1.1.0,320,320,bytes,63249043.0,ns,99264
encode/ascii,oem_cp 1.1.0,320,320,bytes,64481814.0,ns,100815
encode/ascii,oem_cp 1.1.0,320,320,bytes,65246870.0,ns,102366
encode/ascii,oem_cp 1.1.0,320,320,bytes,66121652.0,ns,103917
encode/ascii,oem_cp 1.1.0,320,320,bytes,67179335.0,ns,105468
encode/ascii,oem_cp 1.1.0,320,320,bytes,68100186.0,ns,107019
encode/ascii,oem_cp 1.1.0,320,320,bytes,69033193.0,ns,108570
encode/ascii,oem_cp 1.1.0,320,320,bytes,70167872.0,ns,110121
encode/ascii,oem_cp 1.1.0,320,320,bytes,71254160.0,ns,111672
encode/ascii,oem_cp 1.1.0,320,320,bytes,72060675.0,ns,113223
encode/ascii,oem_cp 1.1.0,320,320,bytes,73069529.0,ns,114774
encode/ascii,oem_cp 1.1.0,320,320,bytes,74207570.0,ns,116325
encode/ascii,oem_cp 1.1.0,320,320,bytes,74969869.0,ns,117876
encode/ascii,oem_cp 1.1.0,320,320,bytes,76282125.0,ns,119427
encode/ascii,oem_cp 1.1.0,320,320,bytes,77011425.0,ns,120978
encode/ascii,oem_cp 1.1.0,320,320,bytes,78246731.0,ns,122529
encode/ascii,oem_cp 1.1.0,320,320,bytes,79147357.0,ns,124080
encode/ascii,oem_cp 1.1.0,320,320,bytes,79951615.0,ns,125631
encode/ascii,oem_cp 1.1.0,320,320,bytes,81000463.0,ns,127182
encode/ascii,oem_cp 1.1.0,320,320,bytes,82020000.0,ns,128733
encode/ascii,oem_cp 1.1.0,320,320,bytes,83126026.0,ns,130284
encode/ascii,oem_cp 1.1.0,320,320,bytes,83961422.0,ns,131835
encode/ascii,oem_cp 1.1.0,320,320,bytes,85124476.0,ns,133386
encode/ascii,oem_cp 1.1.0,320,320,bytes,85724916.0,ns,134937
encode/ascii,oem_cp 1.1.0,320,320,bytes,86998668.0,ns,136488
encode/ascii,oem_cp 1.1.0,320,320,bytes,87912229.0,ns,138039
encode/ascii,oem_cp 1.1.0,320,320,bytes,89567842.0,ns,139590
encode/ascii,oem_cp 1.1.0,320,320,bytes,89963452.0,ns,141141
encode/ascii,oem_cp 1.1.0,320,320,bytes,91765315.0,ns,142692
encode/ascii,oem_cp 1.1.0,320,320,bytes,92037411.0,ns,144243
encode/ascii,oem_cp 1.1.0,320,320,bytes,92932517.0,ns,145794
encode/ascii,oem_cp 1.1.0,320,320,bytes,93714518.0,ns,147345
encode/ascii,oem_cp 1.1.0,320,320,bytes,94995579.0,ns,148896
encode/ascii,oem_cp 1.1.0,320,320,bytes,95771757.0,ns,150447
encode/ascii,oem_cp 1.1.0,320,320,bytes,96980455.0,ns,151998
encode/ascii,oem_cp 1.1.0,320,320,bytes,98608742.0,ns,153549
encode/ascii,oem_cp 1.1.0,320,320,bytes,99183064.0,ns,155100
