group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,oem_cp 1.1.0,40,40,bytes,994344.0,ns,6147
encode/ascii,oem_cp 1.1.0,40,40,bytes,1916501.0,ns,12294
encode/ascii,oem_cp 1.1.0,40,40,bytes,3026286.0,ns,18441
encode/ascii,oem_cp 1.1.0,40,40,bytes,3937097.0,ns,24588
encode/ascii,oem_cp 1.1.0,40,40,bytes,5168532.0,ns,30735
encode/ascii,oem_cp 1.1.0,40,40,bytes,6101494.0,ns,36882
encode/ascii,oem_cp 1.1.0,40,40,bytes,6909556.0,ns,43029
encode/ascii,oem_cp 1.1.0,40,40,bytes,8013236.0,ns,49176
encode/ascii,oem_cp 1.1.0,40,40,bytes,8757485.0,ns,55323
encode/ascii,oem_cp 1.1.0,40,40,bytes,9746441.0,ns,61470
encode/ascii,oem_cp 1.1.0,40,40,bytes,10863143.0,ns,67617
encode/ascii,oem_cp 1.1.0,40,40,bytes,11904315.0,ns,73764
encode/ascii,oem_cp 1.1.0,40,40,bytes,12991541.0,ns,79911
encode/ascii,oem_cp 1.1.0,40,40,bytes,13952273.0,ns,86058
encode/ascii,oem_cp 1.1.0,40,40,bytes,14715516.0,ns,92205
encode/ascii,oem_cp 1.1.0,40,40,bytes,15691340.0,ns,98352
encode/ascii,oem_cp 1.1.0,40,40,bytes,16943964.0,ns,104499
encode/ascii,oem_cp 1.1.0,40,40,bytes,17807701.0,ns,110646
encode/ascii,oem_cp 1.1.0,40,40,bytes,18819235.0,ns,116793
encode/ascii,oem_cp 1.1.0,40,40,bytes,19549513.0,ns,122940
encode/ascii,oem_cp 1.1.0,40,40,bytes,20743848.0,ns,129087
encode/ascii,oem_cp 1.1.0,40,40,bytes,21742705.0,ns,135234
encode/ascii,oem_cp 1.1.0,40,40,bytes,22912045.0,ns,141381
encode/ascii,oem_cp 1.1.0,40,40,bytes,23766531.0,ns,147528
encode/ascii,oem_cp 1.1.0,40,40,bytes,24612180.0,ns,153675
encode/ascii,oem_cp 1.1.0,40,40,bytes,25788387.0,ns,159822
encode/ascii,oem_cp 1.1.0,40,40,bytes,26782975.0,ns,165969
encode/ascii,oem_cp 1.1.0,40,40,bytes,27668463.0,ns,172116
encode/ascii,oem_cp 1.1.0,40,40,bytes,29130528.0,ns,178263
encode/ascii,oem_cp 1.1.0,40,40,bytes,29646292.0,ns,184410
encode/ascii,oem_cp 1.1.0,40,40,bytes,30845284.0,ns,190557
encode/ascii,oem_cp 1.1.0,40,40,bytes,31783559.0,ns,196704
encode/ascii,oem_cp 1.1.0,40,40,bytes,32656894.0,ns,202851
encode/ascii,oem_cp 1.1.0,40,40,bytes,33816954.0,ns,208998
encode/ascii,oem_cp 1.1.0,40,40,bytes,34831826.0,ns,215145
encode/ascii,oem_cp 1.1.0,40,40,bytes,35564542.0,ns,221292
encode/ascii,oem_cp 1.1.0,40,40,bytes,36472772.0,ns,227439
encode/ascii,oem_cp 1.1.0,40,40,bytes,37771701.0,ns,233586
encode/ascii,oem_cp 1.1.0,40,40,bytes,39122456.0,ns,239733
encode/ascii,oem_cp 1.1.0,40,40,bytes,39502244.0,ns,245880
encode/ascii,oem_cp 1.1.0,40,40,bytes,40738907.0,ns,252027
encode/ascii,oem_cp 1.1.0,40,40,bytes,41262259.0,ns,258174
encode/ascii,oem_cp 1.1.0,40,40,bytes,42713624.0,ns,264321
encode/ascii,oem_cp 1.1.0,40,40,bytes,43760376.0,ns,270468
encode/ascii,oem_cp 1.1.0,40,40,bytes,45114960.0,ns,276615
encode/ascii,oem_cp 1.1.0,40,40,bytes,45512162.0,ns,282762
encode/ascii,oem_cp 1.1.0,40,40,bytes,46495238.0,ns,288909
encode/ascii,oem_cp 1.1.0,40,40,bytes,47245565.0,ns,295056
encode/ascii,oem_cp 1.1.0,40,40,bytes,48518007.0,ns,301203
encode/ascii,oem_cp 1.1.0,40,40,bytes,49855027.0,ns,307350
encode/ascii,oem_cp 1.1.0,40,40,bytes,50919652.0,ns,313497
encode/ascii,oem_cp 1.1.0,40,40,bytes,51770946.0,ns,319644
encode/ascii,oem_cp 1.1.0,40,40,bytes,52252566.0,ns,325791
encode/ascii,oem_cp 1.1.0,40,40,bytes,53180654.0,ns,331938
encode/ascii,oem_cp 1.1.0,40,40,bytes,54676696.0,ns,338085
encode/ascii,oem_cp 1.1.0,40,40,bytes,55505122.0,ns,344232
encode/ascii,oem_cp 1.1.0,40,40,bytes,56451300.0,ns,350379
encode/ascii,oem_cp 1.1.0,40,40,bytes,56998292.0,ns,356526
encode/ascii,oem_cp 1.1.0,40,40,bytes,58564213.0,ns,362673
encode/ascii,oem_cp 1.1.0,40,40,bytes,59366801.0,ns,368820
encode/ascii,oem_cp 1.1.0,40,40,bytes,60454838.0,ns,374967
encode/ascii,oem_cp 1.1.0,40,40,bytes,61300461.0,ns,381114
encode/ascii,oem_cp 1.1.0,40,40,bytes,62590088.0,ns,387261
encode/ascii,oem_cp 1.1.0,40,40,bytes,62782807.0,ns,393408
encode/ascii,oem_cp 1.1.0,40,40,bytes,64122064.0,ns,399555
encode/ascii,oem_cp 1.1.0,40,40,bytes,64921131.0,ns,405702
encode/ascii,oem_cp 1.1.0,40,40,bytes,66794564.0,ns,411849
encode/ascii,oem_cp 1.1.0,40,40,bytes,67857313.0,ns,417996
encode/ascii,oem_cp 1.1.0,40,40,bytes,68656718.0,ns,424143
encode/ascii,oem_cp 1.1.0,40,40,bytes,69676831.0,ns,430290
encode/ascii,oem_cp 1.1.0,40,40,bytes,69908111.0,ns,436437
encode/ascii,oem_cp 1.1.0,40,40,bytes,71020584.0,ns,442584
encode/ascii,oem_cp 1.1.0,40,40,bytes,71661265.0,ns,448731
encode/ascii,oem_cp 1.1.0,40,40,bytes,72902568.0,ns,454878
encode/ascii,oem_cp 1.1.0,40,40,bytes,74041399.0,ns,461025
encode/ascii,oem_cp 1.1.0,40,40,bytes,75111764.0,ns,467172
encode/ascii,oem_cp 1.1.0,40,40,bytes,75998724.0,ns,473319
encode/ascii,oem_cp 1.1.0,40,40,bytes,77258846.0,ns,479466
encode/ascii,oem_cp 1.1.0,40,40,bytes,78227225.0,ns,485613
encode/ascii,oem_cp 1.1.0,40,40,bytes,78990948.0,ns,491760
encode/ascii,oem_cp 1.1.0,40,40,bytes,80059257.0,ns,497907
encode/ascii,oem_cp 1.1.0,40,40,bytes,80916379.0,ns,504054
encode/ascii,oem_cp 1.1.0,40,40,bytes,82124569.0,ns,510201
encode/ascii,oem_cp 1.1.0,40,40,bytes,83242234.0,ns,516348
encode/ascii,oem_cp 1.1.0,40,40,bytes,83554827.0,ns,522495
encode/ascii,oem_cp 1.1.0,40,40,bytes,85517216.0,ns,528642
encode/ascii,oem_cp 1.1.0,40,40,bytes,86157631.0,ns,534789
encode/ascii,oem_cp 1.1.0,40,40,bytes,87660936.0,ns,540936
encode/ascii,oem_cp 1.1.0,40,40,bytes,87933447.0,ns,547083
encode/ascii,oem_cp 1.1.0,40,40,bytes,88852155.0,ns,553230
encode/ascii,oem_cp 1.1.0,40,40,bytes,90859026.0,ns,559377
encode/ascii,oem_cp 1.1.0,40,40,bytes,91066411.0,ns,565524
encode/ascii,oem_cp 1.1.0,40,40,bytes,91908762.0,ns,571671
encode/ascii,oem_cp 1.1.0,40,40,bytes,93279217.0,ns,577818
encode/ascii,oem_cp 1.1.0,40,40,bytes,94361715.0,ns,583965
encode/ascii,oem_cp 1.1.0,40,40,bytes,94779875.0,ns,590112
encode/ascii,oem_cp 1.1.0,40,40,bytes,95625635.0,ns,596259
encode/ascii,oem_cp 1.1.0,40,40,bytes,97060702.0,ns,602406
encode/ascii,oem_cp 1.1.0,40,40,bytes,97159902.0,ns,608553
encode/ascii,oem_cp 1.1.0,40,40,bytes,98544695.0,ns,614700
