group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,rust-encoding 0.2.33,160,160,bytes,1145084.0,ns,3394
encode/ascii,rust-encoding 0.2.33,160,160,bytes,1974149.0,ns,6788
encode/ascii,rust-encoding 0.2.33,160,160,bytes,3042077.0,ns,10182
encode/ascii,rust-encoding 0.2.33,160,160,bytes,4267206.0,ns,13576
encode/ascii,rust-encoding 0.2.33,160,160,bytes,5072082.0,ns,16970
encode/ascii,rust-encoding 0.2.33,160,160,bytes,5937309.0,ns,20364
encode/ascii,rust-encoding 0.2.33,160,160,bytes,6893016.0,ns,23758
encode/ascii,rust-encoding 0.2.33,160,160,bytes,7935461.0,ns,27152
encode/ascii,rust-encoding 0.2.33,160,160,bytes,8861355.0,ns,30546
encode/ascii,rust-encoding 0.2.33,160,160,bytes,9798062.0,ns,33940
encode/ascii,rust-encoding 0.2.33,160,160,bytes,10871789.0,ns,37334
encode/ascii,rust-encoding 0.2.33,160,160,bytes,11796351.0,ns,40728
encode/ascii,rust-encoding 0.2.33,160,160,bytes,12856848.0,ns,44122
encode/ascii,rust-encoding 0.2.33,160,160,bytes,13872528.0,ns,47516
encode/ascii,rust-encoding 0.2.33,160,160,bytes,14798856.0,ns,50910
encode/ascii,rust-encoding 0.2.33,160,160,bytes,15802536.0,ns,54304
encode/ascii,rust-encoding 0.2.33,160,160,bytes,16684226.0,ns,57698
encode/ascii,rust-encoding 0.2.33,160,160,bytes,17772131.0,ns,61092
encode/ascii,rust-encoding 0.2.33,160,160,bytes,18667173.0,ns,64486
encode/ascii,rust-encoding 0.2.33,160,160,bytes,19780332.0,ns,67880
encode/ascii,rust-encoding 0.2.33,160,160,bytes,20710146.0,ns,71274
encode/ascii,rust-encoding 0.2.33,160,160,bytes,21759839.0,ns,74668
encode/ascii,rust-encoding 0.2.33,160,160,bytes,22637994.0,ns,78062
encode/ascii,rust-encoding 0.2.33,160,160,bytes,23717979.0,ns,81456
encode/ascii,rust-encoding 0.2.33,160,160,bytes,24691338.0,ns,84850
encode/ascii,rust-encoding 0.2.33,160,160,bytes,25737733.0,ns,88244
encode/ascii,rust-encoding 0.2.33,160,160,bytes,26648947.0,ns,91638
encode/ascii,rust-encoding 0.2.33,160,160,bytes,27693228.0,ns,95032
encode/ascii,rust-encoding 0.2.33,160,160,bytes,28512175.0,ns,98426
encode/ascii,rust-encoding 0.2.33,160,160,bytes,29631622.0,ns,101820
encode/ascii,rust-encoding 0.2.33,160,160,bytes,30479624.0,ns,105214
encode/ascii,rust-encoding 0.2.33,160,160,bytes,31596809.0,ns,108608
encode/ascii,rust-encoding 0.2.33,160,160,bytes,32638624.0,ns,112002
encode/ascii,rust-encoding 0.2.33,160,160,bytes,33615998.0,ns,115396
encode/ascii,rust-encoding 0.2.33,160,160,bytes,34655329.0,ns,118790
encode/ascii,rust-encoding 0.2.33,160,160,bytes,35521502.0,ns,122184
encode/ascii,rust-encoding 0.2.33,160,160,bytes,36470830.0,ns,125578
encode/ascii,rust-encoding 0.2.33,160,160,bytes,37635062.0,ns,128972
encode/ascii,rust-encoding 0.2.33,160,160,bytes,38554968.0,ns,132366
encode/ascii,rust-encoding 0.2.33,160,160,bytes,39505521.0,ns,135760
encode/ascii,rust-encoding 0.2.33,160,160,bytes,40575920.0,ns,139154
encode/ascii,rust-encoding 0.2.33,160,160,bytes,41407338.0,ns,142548
encode/ascii,rust-encoding 0.2.33,160,160,bytes,42412702.0,ns,145942
encode/ascii,rust-encoding 0.2.33,160,160,bytes,43239642.0,ns,149336
encode/ascii,rust-encoding 0.2.33,160,160,bytes,44438038.0,ns,152730
encode/ascii,rust-encoding 0.2.33,160,160,bytes,47158751.0,ns,156124
encode/ascii,rust-encoding 0.2.33,160,160,bytes,46709201.0,ns,159518
encode/ascii,rust-encoding 0.2.33,160,160,bytes,47464819.0,ns,162912
encode/ascii,rust-encoding 0.2.33,160,160,bytes,48537899.0,ns,166306
encode/ascii,rust-encoding 0.2.33,160,160,bytes,49662316.0,ns,169700
encode/ascii,rust-encoding 0.2.33,160,160,bytes,50374205.0,ns,173094
encode/ascii,rust-encoding 0.2.33,160,160,bytes,51694805.0,ns,176488
encode/ascii,rust-encoding 0.2.33,160,160,bytes,52544173.0,ns,179882
encode/ascii,rust-encoding 0.2.33,160,160,bytes,53385380.0,ns,183276
encode/ascii,rust-encoding 0.2.33,160,160,bytes,54251280.0,ns,186670
encode/ascii,rust-encoding 0.2.33,160,160,bytes,55426019.0,ns,190064
encode/ascii,rust-encoding 0.2.33,160,160,bytes,56374314.0,ns,193458
encode/ascii,rust-encoding 0.2.33,160,160,bytes,57042669.0,ns,196852
encode/ascii,rust-encoding 0.2.33,160,160,bytes,58251082.0,ns,200246
encode/ascii,rust-encoding 0.2.33,160,160,bytes,59262514.0,ns,203640
encode/ascii,rust-encoding 0.2.33,160,160,bytes,60278423.0,ns,207034
encode/ascii,rust-encoding 0.2.33,160,160,bytes,61097461.0,ns,210428
encode/ascii,rust-encoding 0.2.33,160,160,bytes,62083568.0,ns,213822
encode/ascii,rust-encoding 0.2.33,160,160,bytes,63327381.0,ns,217216
encode/ascii,rust-encoding 0.2.33,160,160,bytes,64097000.0,ns,220610
encode/ascii,rust-encoding 0.2.33,160,160,bytes,65120518.0,ns,224004
encode/ascii,rust-encoding 0.2.33,160,160,bytes,66182766.0,ns,227398
encode/ascii,rust-encoding 0.2.33,160,160,bytes,66978462.0,ns,230792
encode/ascii,rust-encoding 0.2.33,160,160,bytes,68133017.0,ns,234186
encode/ascii,rust-encoding 0.2.33,160,160,bytes,69167477.0,ns,237580
encode/ascii,rust-encoding 0.2.33,160,160,bytes,70041448.0,ns,240974
encode/ascii,rust-encoding 0.2.33,160,160,bytes,71054199.0,ns,244368
encode/ascii,rust-encoding 0.2.33,160,160,bytes,72206085.0,ns,247762
encode/ascii,rust-encoding 0.2.33,160,160,bytes,73007759.0,ns,251156
encode/ascii,rust-encoding 0.2.33,160,160,bytes,74079232.0,ns,254550
encode/ascii,rust-encoding 0.2.33,160,160,bytes,75114274.0,ns,257944
encode/ascii,rust-encoding 0.2.33,160,160,bytes,76004197.0,ns,261338
encode/ascii,rust-encoding 0.2.33,160,160,bytes,77186812.0,ns,264732
encode/ascii,rust-encoding 0.2.33,160,160,bytes,78141255.0,ns,268126
encode/ascii,rust-encoding 0.2.33,160,160,bytes,78786613.0,ns,271520
encode/ascii,rust-encoding 0.2.33,160,160,bytes,80028720.0,ns,274914
encode/ascii,rust-encoding 0.2.33,160,160,bytes,81017390.0,ns,278308
encode/ascii,rust-encoding 0.2.33,160,160,bytes,82001607.0,ns,281702
encode/ascii,rust-encoding 0.2.33,160,160,bytes,82830506.0,ns,285096
encode/ascii,rust-encoding 0.2.33,160,160,bytes,84225471.0,ns,288490
encode/ascii,rust-encoding 0.2.33,160,160,bytes,84847354.0,ns,291884
encode/ascii,rust-encoding 0.2.33,160,160,bytes,85887570.0,ns,295278
encode/ascii,rust-encoding 0.2.33,160,160,bytes,87100456.0,ns,298672
encode/ascii,rust-encoding 0.2.33,160,160,bytes,87736843.0,ns,302066
encode/ascii,rust-encoding 0.2.33,160,160,bytes,88855305.0,ns,305460
encode/ascii,rust-encoding 0.2.33,160,160,bytes,89748590.0,ns,308854
encode/ascii,rust-encoding 0.2.33,160,160,bytes,90772043.0,ns,312248
encode/ascii,rust-encoding 0.2.33,160,160,bytes,91853265.0,ns,315642
encode/ascii,rust-encoding 0.2.33,160,160,bytes,92854107.0,ns,319036
encode/ascii,rust-encoding 0.2.33,160,160,bytes,93836755.0,ns,322430
encode/ascii,rust-encoding 0.2.33,160,160,bytes,94932005.0,ns,325824
encode/ascii,rust-encoding 0.2.33,160,160,bytes,95741519.0,ns,329218
encode/ascii,rust-encoding 0.2.33,160,160,bytes,96812373.0,ns,332612
encode/ascii,rust-encoding 0.2.33,160,160,bytes,97869281.0,ns,336006
encode/ascii,rust-encoding 0.2.33,160,160,bytes,98561280.0,ns,339400
