group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,rust-encoding 0.2.33,320,320,bytes,1121101.0,ns,1821
encode/ascii,rust-encoding 0.2.33,320,320,bytes,1987274.0,ns,3642
encode/ascii,rust-encoding 0.2.33,320,320,bytes,3083112.0,ns,5463
encode/ascii,rust-encoding 0.2.33,320,320,bytes,4179692.0,ns,7284
encode/ascii,rust-encoding 0.2.33,320,320,bytes,4985388.0,ns,9105
encode/ascii,rust-encoding 0.2.33,320,320,bytes,5970237.0,ns,10926
encode/ascii,rust-encoding 0.2.33,320,320,bytes,6950172.0,ns,12747
encode/ascii,rust-encoding 0.2.33,320,320,bytes,7896155.0,ns,14568
encode/ascii,rust-encoding 0.2.33,320,320,bytes,8939022.0,ns,16389
encode/ascii,rust-encoding 0.2.33,320,320,bytes,9936971.0,ns,18210
encode/ascii,rust-encoding 0.2.33,320,320,bytes,10840242.0,ns,20031
encode/ascii,rust-encoding 0.2.33,320,320,bytes,11883366.0,ns,21852
encode/ascii,rust-encoding 0.2.33,320,320,bytes,12854664.0,ns,23673
encode/ascii,rust-encoding 0.2.33,320,320,bytes,13868003.0,ns,25494
encode/ascii,rust-encoding 0.2.33,320,320,bytes,14885914.0,ns,27315
encode/ascii,rust-encoding 0.2.33,320,320,bytes,15864604.0,ns,29136
encode/ascii,rust-encoding 0.2.33,320,320,bytes,16866452.0,ns,30957
encode/ascii,rust-encoding 0.2.33,320,320,bytes,17823136.0,ns,32778
encode/ascii,rust-encoding 0.2.33,320,320,bytes,18945635.0,ns,34599
encode/ascii,rust-encoding 0.2.33,320,320,bytes,19825196.0,ns,36420
encode/ascii,rust-encoding 0.2.33,320,320,bytes,20887125.0,ns,38241
encode/ascii,rust-encoding 0.2.33,320,320,bytes,21742296.0,ns,40062
encode/ascii,rust-encoding 0.2.33,320,320,bytes,22805610.0,ns,41883
encode/ascii,rust-encoding 0.2.33,320,320,bytes,23709669.0,ns,43704
encode/ascii,rust-encoding 0.2.33,320,320,bytes,24703435.0,ns,45525
encode/ascii,rust-encoding 0.2.33,320,320,bytes,25764732.0,ns,47346
encode/ascii,rust-encoding 0.2.33,320,320,bytes,26714045.0,ns,49167
encode/ascii,rust-encoding 0.2.33,320,320,bytes,27742414.0,ns,50988
encode/ascii,rust-encoding 0.2.33,320,320,bytes,28695661.0,ns,52809
encode/ascii,rust-encoding 0.2.33,320,320,bytes,29697300.0,ns,54630
encode/ascii,rust-encoding 0.2.33,320,320,bytes,30754096.0,ns,56451
encode/ascii,rust-encoding 0.2.33,320,320,bytes,31690263.0,ns,58272
encode/ascii,rust-encoding 0.2.33,320,320,bytes,32685929.0,ns,60093
encode/ascii,rust-encoding 0.2.33,320,320,bytes,33718350.0,ns,61914
encode/ascii,rust-encoding 0.2.33,320,320,bytes,34666424.0,ns,63735
encode/ascii,rust-encoding 0.2.33,320,320,bytes,35553370.0,ns,65556
encode/ascii,rust-encoding 0.2.33,320,320,bytes,36702846.0,ns,67377
encode/ascii,rust-encoding 0.2.33,320,320,bytes,37762190.0,ns,69198
encode/ascii,rust-encoding 0.2.33,320,320,bytes,38579524.0,ns,71019
encode/ascii,rust-encoding 0.2.33,320,320,bytes,39550916.0,ns,72840
encode/ascii,rust-encoding 0.2.33,320,320,bytes,40630036.0,ns,74661
encode/ascii,rust-encoding 0.2.33,320,320,bytes,41519516.0,ns,76482
encode/ascii,rust-encoding 0.2.33,320,320,bytes,42620763.0,ns,78303
encode/ascii,rust-encoding 0.2.33,320,320,bytes,43718545.0,ns,80124
encode/ascii,rust-encoding 0.2.33,320,320,bytes,44601220.0,ns,81945
encode/ascii,rust-encoding 0.2.33,320,320,bytes,45692396.0,ns,83766
encode/ascii,rust-encoding 0.2.33,320,320,bytes,46515157.0,ns,85587
encode/ascii,rust-encoding 0.2.33,320,320,bytes,47407148.0,ns,87408
encode/ascii,rust-encoding 0.2.33,320,320,bytes,48635268.0,ns,89229
encode/ascii,rust-encoding 0.2.33,320,320,bytes,49522632.0,ns,91050
encode/ascii,rust-encoding 0.2.33,320,320,bytes,50421841.0,ns,92871
encode/ascii,rust-encoding 0.2.33,320,320,bytes,51498023.0,ns,94692
encode/ascii,rust-encoding 0.2.33,320,320,bytes,52532510.0,ns,96513
encode/ascii,rust-encoding 0.2.33,320,320,bytes,53394630.0,ns,98334
encode/ascii,rust-encoding 0.2.33,320,320,bytes,54459805.0,ns,100155
encode/ascii,rust-encoding 0.2.33,320,320,bytes,55328397.0,ns,101976
encode/ascii,rust-encoding 0.2.33,320,320,bytes,56498471.0,ns,103797
encode/ascii,rust-encoding 0.2.33,320,320,bytes,58641494.0,ns,105618
encode/ascii,rust-encoding 0.2.33,320,320,bytes,59245879.0,ns,107439
