group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,yore 0.1.0,40,40,bytes,1012864.0,ns,331364
encode/ascii,yore 0.1.0,40,40,bytes,1978310.0,ns,662728
encode/ascii,yore 0.1.0,40,40,bytes,3241433.0,ns,994092
encode/ascii,yore 0.1.0,40,40,bytes,3951121.0,ns,1325456
encode/ascii,yore 0.1.0,40,40,bytes,5264767.0,ns,1656820
encode/ascii,yore 0.1.0,40,40,bytes,6015291.0,ns,1988184
encode/ascii,yore 0.1.0,40,40,bytes,6912132.0,ns,2319548
encode/ascii,yore 0.1.0,40,40,bytes,7940262.0,ns,2650912
encode/ascii,yore 0.1.0,40,40,bytes,8915352.0,ns,2982276
encode/ascii,yore 0.1.0,40,40,bytes,9874215.0,ns,3313640
encode/ascii,yore 0.1.0,40,40,bytes,10859767.0,ns,3645004
encode/ascii,yore 0.1.0,40,40,bytes,11852218.0,ns,3976368
encode/ascii,yore 0.1.0,40,40,bytes,12836254.0,ns,4307732
encode/ascii,yore 0.1.0,40,40,bytes,13822044.0,ns,4639096
encode/ascii,yore 0.1.0,40,40,bytes,14810804.0,ns,4970460
encode/ascii,yore 0.1.0,40,40,bytes,15886730.0,ns,5301824
encode/ascii,yore 0.1.0,40,40,bytes,16784300.0,ns,5633188
encode/ascii,yore 0.1.0,40,40,bytes,17771411.0,ns,5964552
encode/ascii,yore 0.1.0,40,40,bytes,18759452.0,ns,6295916
encode/ascii,yore 0.1.0,40,40,bytes,19773393.0,ns,6627280
encode/ascii,yore 0.1.0,40,40,bytes,20762570.0,ns,6958644
encode/ascii,yore 0.1.0,40,40,bytes,21785401.0,ns,7290008
encode/ascii,yore 0.1.0,40,40,bytes,22905691.0,ns,7621372
encode/ascii,yore 0.1.0,40,40,bytes,23722809.0,ns,7952736
encode/ascii,yore 0.1.0,40,40,bytes,24682772.0,ns,8284100
encode/ascii,yore 0.1.0,40,40,bytes,25785357.0,ns,8615464
encode/ascii,yore 0.1.0,40,40,bytes,26659329.0,ns,8946828
encode/ascii,yore 0.1.0,40,40,bytes,27724505.0,ns,9278192
encode/ascii,yore 0.1.0,40,40,bytes,28689585.0,ns,9609556
encode/ascii,yore 0.1.0,40,40,bytes,29765719.0,ns,9940920
encode/ascii,yore 0.1.0,40,40,bytes,30815665.0,ns,10272284
encode/ascii,yore 0.1.0,40,40,bytes,31711500.0,ns,10603648
encode/ascii,yore 0.1.0,40,40,bytes,32610956.0,ns,10935012
encode/ascii,yore 0.1.0,40,40,bytes,33572887.0,ns,11266376
encode/ascii,yore 0.1.0,40,40,bytes,34694875.0,ns,11597740
encode/ascii,yore 0.1.0,40,40,bytes,35652797.0,ns,11929104
encode/ascii,yore 0.1.0,40,40,bytes,36651393.0,ns,12260468
encode/ascii,yore 0.1.0,40,40,bytes,37601273.0,ns,12591832
encode/ascii,yore 0.1.0,40,40,bytes,38589359.0,ns,12923196
encode/ascii,yore 0.1.0,40,40,bytes,39600722.0,ns,13254560
encode/ascii,yore 0.1.0,40,40,bytes,40480130.0,ns,13585924
encode/ascii,yore 0.1.0,40,40,bytes,41552726.0,ns,13917288
encode/ascii,yore 0.1.0,40,40,bytes,42545772.0,ns,14248652
encode/ascii,yore 0.1.0,40,40,bytes,43472793.0,ns,14580016
encode/ascii,yore 0.1.0,40,40,bytes,44598902.0,ns,14911380
encode/ascii,yore 0.1.0,40,40,bytes,45469278.0,ns,15242744
encode/ascii,yore 0.1.0,40,40,bytes,46431149.0,ns,15574108
encode/ascii,yore 0.1.0,40,40,bytes,47418592.0,ns,15905472
encode/ascii,yore 0.1.0,40,40,bytes,48408903.0,ns,16236836
encode/ascii,yore 0.1.0,40,40,bytes,49549018.0,ns,16568200
encode/ascii,yore 0.1.0,40,40,bytes,50574307.0,ns,16899564
encode/ascii,yore 0.1.0,40,40,bytes,51409958.0,ns,17230928
encode/ascii,yore 0.1.0,40,40,bytes,52327979.0,ns,17562292
encode/ascii,yore 0.1.0,40,40,bytes,53367885.0,ns,17893656
encode/ascii,yore 0.1.0,40,40,bytes,54494650.0,ns,18225020
encode/ascii,yore 0.1.0,40,40,bytes,55316921.0,ns,18556384
encode/ascii,yore 0.1.0,40,40,bytes,56330471.0,ns,18887748
encode/ascii,yore 0.1.0,40,40,bytes,57435776.0,ns,19219112
encode/ascii,yore 0.1.0,40,40,bytes,58340873.0,ns,19550476
encode/ascii,yore 0.1.0,40,40,bytes,59405931.0,ns,19881840
encode/ascii,yore 0.1.0,40,40,bytes,60279242.0,ns,20213204
encode/ascii,yore 0.1.0,40,40,bytes,61395984.0,ns,20544568
encode/ascii,yore 0.1.0,40,40,bytes,62342266.0,ns,20875932
encode/ascii,yore 0.1.0,40,40,bytes,63434766.0,ns,21207296
encode/ascii,yore 0.1.0,40,40,bytes,64292469.0,ns,21538660
encode/ascii,yore 0.1.0,40,40,bytes,65254282.0,ns,21870024
encode/ascii,yore 0.1.0,40,40,bytes,66342608.0,ns,22201388
encode/ascii,yore 0.1.0,40,40,bytes,67246019.0,ns,22532752
encode/ascii,yore 0.1.0,40,40,bytes,68210575.0,ns,22864116
encode/ascii,yore 0.1.0,40,40,bytes,69199303.0,ns,23195480
encode/ascii,yore 0.1.0,40,40,bytes,70463305.0,ns,23526844
encode/ascii,yore 0.1.0,40,40,bytes,71142708.0,ns,23858208
encode/ascii,yore 0.1.0,40,40,bytes,72267902.0,ns,24189572
encode/ascii,yore 0.1.0,40,40,bytes,73226849.0,ns,24520936
encode/ascii,yore 0.1.0,40,40,bytes,74190093.0,ns,24852300
encode/ascii,yore 0.1.0,40,40,bytes,75154377.0,ns,25183664
encode/ascii,yore 0.1.0,40,40,bytes,76123404.0,ns,25515028
encode/ascii,yore 0.1.0,40,40,bytes,81931417.0,ns,25846392
encode/ascii,yore 0.1.0,40,40,bytes,79079292.0,ns,26177756
encode/ascii,yore 0.1.0,40,40,bytes,79095942.0,ns,26509120
encode/ascii,yore 0.1.0,40,40,bytes,80152835.0,ns,26840484
encode/ascii,yore 0.1.0,40,40,bytes,81519653.0,ns,27171848
encode/ascii,yore 0.1.0,40,40,bytes,82033524.0,ns,27503212
encode/ascii,yore 0.1.0,40,40,bytes,83327357.0,ns,27834576
encode/ascii,yore 0.1.0,40,40,bytes,84119694.0,ns,28165940
encode/ascii,yore 0.1.0,40,40,bytes,85090187.0,ns,28497304
encode/ascii,yore 0.1.0,40,40,bytes,86088265.0,ns,28828668
encode/ascii,yore 0.1.0,40,40,bytes,86922546.0,ns,29160032
encode/ascii,yore 0.1.0,40,40,bytes,88023631.0,ns,29491396
encode/ascii,yore 0.1.0,40,40,bytes,89318262.0,ns,29822760
encode/ascii,yore 0.1.0,40,40,bytes,89931655.0,ns,30154124
encode/ascii,yore 0.1.0,40,40,bytes,91012743.0,ns,30485488
encode/ascii,yore 0.1.0,40,40,bytes,91996302.0,ns,30816852
encode/ascii,yore 0.1.0,40,40,bytes,92984213.0,ns,31148216
encode/ascii,yore 0.1.0,40,40,bytes,94145791.0,ns,31479580
encode/ascii,yore 0.1.0,40,40,bytes,94950172.0,ns,31810944
encode/ascii,yore 0.1.0,40,40,bytes,95880486.0,ns,32142308
encode/ascii,yore 0.1.0,40,40,bytes,97037596.0,ns,32473672
encode/ascii,yore 0.1.0,40,40,bytes,97811012.0,ns,32805036
encode/ascii,yore 0.1.0,40,40,bytes,99338948.0,ns,33136400
