group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,yore 0.1.0,80,80,bytes,1118053.0,ns,242611
encode/ascii,yore 0.1.0,80,80,bytes,1970683.0,ns,485222
encode/ascii,yore 0.1.0,80,80,bytes,3086449.0,ns,727833
encode/ascii,yore 0.1.0,80,80,bytes,3939107.0,ns,970444
encode/ascii,yore 0.1.0,80,80,bytes,5185517.0,ns,1213055
encode/ascii,yore 0.1.0,80,80,bytes,5970233.0,ns,1455666
encode/ascii,yore 0.1.0,80,80,bytes,6992484.0,ns,1698277
encode/ascii,yore 0.1.0,80,80,bytes,7877554.0,ns,1940888
encode/ascii,yore 0.1.0,80,80,bytes,8913476.0,ns,2183499
encode/ascii,yore 0.1.0,80,80,bytes,9935943.0,ns,2426110
encode/ascii,yore 0.1.0,80,80,bytes,10981123.0,ns,2668721
encode/ascii,yore 0.1.0,80,80,bytes,11861465.0,ns,2911332
encode/ascii,yore 0.1.0,80,80,bytes,12928994.0,ns,3153943
encode/ascii,yore 0.1.0,80,80,bytes,13842176.0,ns,3396554
encode/ascii,yore 0.1.0,80,80,bytes,14772473.0,ns,3639165
encode/ascii,yore 0.1.0,80,80,bytes,15752782.0,ns,3881776
encode/ascii,yore 0.1.0,80,80,bytes,16737339.0,ns,4124387
encode/ascii,yore 0.1.0,80,80,bytes,17760107.0,ns,4366998
encode/ascii,yore 0.1.0,80,80,bytes,18848402.0,ns,4609609
encode/ascii,yore 0.1.0,80,80,bytes,19695052.0,ns,4852220
encode/ascii,yore 0.1.0,80,80,bytes,20849866.0,ns,5094831
encode/ascii,yore 0.1.0,80,80,bytes,21688496.0,ns,5337442
encode/ascii,yore 0.1.0,80,80,bytes,22703839.0,ns,5580053
encode/ascii,yore 0.1.0,80,80,bytes,23697347.0,ns,5822664
encode/ascii,yore 0.1.0,80,80,bytes,25003171.0,ns,6065275
encode/ascii,yore 0.1.0,80,80,bytes,25836236.0,ns,6307886
encode/ascii,yore 0.1.0,80,80,bytes,26829024.0,ns,6550497
encode/ascii,yore 0.1.0,80,80,bytes,27777446.0,ns,6793108
encode/ascii,yore 0.1.0,80,80,bytes,28615688.0,ns,7035719
encode/ascii,yore 0.1.0,80,80,bytes,29567929.0,ns,7278330
encode/ascii,yore 0.1.0,80,80,bytes,30657951.0,ns,7520941
encode/ascii,yore 0.1.0,80,80,bytes,31515774.0,ns,7763552
encode/ascii,yore 0.1.0,80,80,bytes,32705623.0,ns,8006163
encode/ascii,yore 0.1.0,80,80,bytes,33729871.0,ns,8248774
encode/ascii,yore 0.1.0,80,80,bytes,34579413.0,ns,8491385
encode/ascii,yore 0.1.0,80,80,bytes,35687659.0,ns,8733996
encode/ascii,yore 0.1.0,80,80,bytes,36790708.0,ns,8976607
encode/ascii,yore 0.1.0,80,80,bytes,37562535.0,ns,9219218
encode/ascii,yore 0.1.0,80,80,bytes,38548672.0,ns,9461829
encode/ascii,yore 0.1.0,80,80,bytes,39561109.0,ns,9704440
encode/ascii,yore 0.1.0,80,80,bytes,40532716.0,ns,9947051
encode/ascii,yore 0.1.0,80,80,bytes,41514462.0,ns,10189662
encode/ascii,yore 0.1.0,80,80,bytes,42504827.0,ns,10432273
encode/ascii,yore 0.1.0,80,80,bytes,43389646.0,ns,10674884
encode/ascii,yore 0.1.0,80,80,bytes,44540702.0,ns,10917495
encode/ascii,yore 0.1.0,80,80,bytes,45354073.0,ns,11160106
encode/ascii,yore 0.1.0,80,80,bytes,46407592.0,ns,11402717
encode/ascii,yore 0.1.0,80,80,bytes,47393879.0,ns,11645328
encode/ascii,yore 0.1.0,80,80,bytes,48438907.0,ns,11887939
encode/ascii,yore 0.1.0,80,80,bytes,49393340.0,ns,12130550
encode/ascii,yore 0.1.0,80,80,bytes,50363275.0,ns,12373161
encode/ascii,yore 0.1.0,80,80,bytes,51308064.0,ns,12615772
encode/ascii,yore 0.1.0,80,80,bytes,52326161.0,ns,12858383
encode/ascii,yore 0.1.0,80,80,bytes,53182490.0,ns,13100994
encode/ascii,yore 0.1.0,80,80,bytes,54715560.0,ns,13343605
encode/ascii,yore 0.1.0,80,80,bytes,55604961.0,ns,13586216
encode/ascii,yore 0.1.0,80,80,bytes,56202381.0,ns,13828827
encode/ascii,yore 0.1.0,80,80,bytes,57391315.0,ns,14071438
encode/ascii,yore 0.1.0,80,80,bytes,58174980.0,ns,14314049
encode/ascii,yore 0.1.0,80,80,bytes,59145520.0,ns,14556660
encode/ascii,yore 0.1.0,80,80,bytes,60670381.0,ns,14799271
encode/ascii,yore 0.1.0,80,80,bytes,61404505.0,ns,15041882
encode/ascii,yore 0.1.0,80,80,bytes,62216573.0,ns,15284493
encode/ascii,yore 0.1.0,80,80,bytes,63175505.0,ns,15527104
encode/ascii,yore 0.1.0,80,80,bytes,64394189.0,ns,15769715
encode/ascii,yore 0.1.0,80,80,bytes,65227768.0,ns,16012326
encode/ascii,yore 0.1.0,80,80,bytes,66188506.0,ns,16254937
encode/ascii,yore 0.1.0,80,80,bytes,67312720.0,ns,16497548
encode/ascii,yore 0.1.0,80,80,bytes,68598326.0,ns,16740159
encode/ascii,yore 0.1.0,80,80,bytes,69584169.0,ns,16982770
encode/ascii,yore 0.1.0,80,80,bytes,71856562.0,ns,17225381
encode/ascii,yore 0.1.0,80,80,bytes,71335179.0,ns,17467992
encode/ascii,yore 0.1.0,80,80,bytes,72068360.0,ns,17710603
encode/ascii,yore 0.1.0,80,80,bytes,72880259.0,ns,17953214
encode/ascii,yore 0.1.0,80,80,bytes,74125341.0,ns,18195825
encode/ascii,yore 0.1.0,80,80,bytes,74942488.0,ns,18438436
encode/ascii,yore 0.1.0,80,80,bytes,76138254.0,ns,18681047
encode/ascii,yore 0.1.0,80,80,bytes,76818175.0,ns,18923658
encode/ascii,yore 0.1.0,80,80,bytes,78270259.0,ns,19166269
encode/ascii,yore 0.1.0,80,80,bytes,79568253.0,ns,19408880
encode/ascii,yore 0.1.0,80,80,bytes,80500840.0,ns,19651491
encode/ascii,yore 0.1.0,80,80,bytes,81193071.0,ns,19894102
encode/ascii,yore 0.1.0,80,80,bytes,82174992.0,ns,20136713
encode/ascii,yore 0.1.0,80,80,bytes,82735006.0,ns,20379324
encode/ascii,yore 0.1.0,80,80,bytes,84269890.0,ns,20621935
encode/ascii,yore 0.1.0,80,80,bytes,85058844.0,ns,20864546
encode/ascii,yore 0.1.0,80,80,bytes,85685323.0,ns,21107157
encode/ascii,yore 0.1.0,80,80,bytes,87504545.0,ns,21349768
encode/ascii,yore 0.1.0,80,80,bytes,88229139.0,ns,21592379
encode/ascii,yore 0.1.0,80,80,bytes,88985852.0,ns,21834990
encode/ascii,yore 0.1.0,80,80,bytes,89975992.0,ns,22077601
encode/ascii,yore 0.1.0,80,80,bytes,90765672.0,ns,22320212
encode/ascii,yore 0.1.0,80,80,bytes,92434725.0,ns,22562823
encode/ascii,yore 0.1.0,80,80,bytes,93270710.0,ns,22805434
encode/ascii,yore 0.1.0,80,80,bytes,94368059.0,ns,23048045
encode/ascii,yore 0.1.0,80,80,bytes,95217338.0,ns,23290656
encode/ascii,yore 0.1.0,80,80,bytes,96438182.0,ns,23533267
encode/ascii,yore 0.1.0,80,80,bytes,97218207.0,ns,23775878
encode/ascii,yore 0.1.0,80,80,bytes,98236613.0,ns,24018489
encode/ascii,yore 0.1.0,80,80,bytes,98584821.0,ns,24261100
