group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,98167.0,ns,695
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,169934.0,ns,1390
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,262392.0,ns,2085
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,293952.0,ns,2780
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,364914.0,ns,3475
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,500679.0,ns,4170
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,514105.0,ns,4865
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,598442.0,ns,5560
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,661830.0,ns,6255
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,733028.0,ns,6950
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,809791.0,ns,7645
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,874938.0,ns,8340
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,983535.0,ns,9035
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1024247.0,ns,9730
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1113276.0,ns,10425
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1226209.0,ns,11120
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1291534.0,ns,11815
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1372793.0,ns,12510
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1448962.0,ns,13205
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1574138.0,ns,13900
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1654669.0,ns,14595
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1755904.0,ns,15290
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,1847626.0,ns,15985
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,2444770.0,ns,16680
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,2280975.0,ns,17375
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,2411737.0,ns,18070
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,2383127.0,ns,18765
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,2563508.0,ns,19460
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,2632425.0,ns,20155
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,2681767.0,ns,20850
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,2921987.0,ns,21545
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,3054061.0,ns,22240
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,3187339.0,ns,22935
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,4045617.0,ns,23630
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,3687321.0,ns,24325
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,4197781.0,ns,25020
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,3811209.0,ns,25715
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,4024274.0,ns,26410
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,4177139.0,ns,27105
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,4379252.0,ns,27800
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,4578165.0,ns,28495
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,4803516.0,ns,29190
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,5407515.0,ns,29885
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,5271333.0,ns,30580
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,5498851.0,ns,31275
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,5572527.0,ns,31970
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,5827307.0,ns,32665
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,6461381.0,ns,33360
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,6187663.0,ns,34055
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,6347463.0,ns,34750
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,6516761.0,ns,35445
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,7016185.0,ns,36140
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,7011969.0,ns,36835
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,7272214.0,ns,37530
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,7306841.0,ns,38225
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,7901995.0,ns,38920
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,7816806.0,ns,39615
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,7974875.0,ns,40310
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,8348553.0,ns,41005
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,8804611.0,ns,41700
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,8531432.0,ns,42395
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,8708145.0,ns,43090
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,9185778.0,ns,43785
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,9220769.0,ns,44480
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,9350284.0,ns,45175
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,9739346.0,ns,45870
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,10058272.0,ns,46565
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,10003374.0,ns,47260
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,10229547.0,ns,47955
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,10443250.0,ns,48650
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,10420889.0,ns,49345
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,11083449.0,ns,50040
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,10785893.0,ns,50735
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,10928720.0,ns,51430
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,11526637.0,ns,52125
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,11429285.0,ns,52820
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,11604453.0,ns,53515
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,12025159.0,ns,54210
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,11899520.0,ns,54905
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,12425013.0,ns,55600
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,12520371.0,ns,56295
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,12781535.0,ns,56990
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,12914745.0,ns,57685
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,12995414.0,ns,58380
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,13492753.0,ns,59075
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,13353536.0,ns,59770
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,13844893.0,ns,60465
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,13683619.0,ns,61160
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,14245735.0,ns,61855
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,14299907.0,ns,62550
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,14786961.0,ns,63245
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,14689120.0,ns,63940
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,14838777.0,ns,64635
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,14733790.0,ns,65330
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,15305239.0,ns,66025
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,15523084.0,ns,66720
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,15753282.0,ns,67415
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,15795614.0,ns,68110
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,15964417.0,ns,68805
encode_checked/ascii,encoding_rs* 0.8.28,2048,2048,bytes,16083561.0,ns,69500
