group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,222736.0,ns,4325
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,384056.0,ns,8650
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,584535.0,ns,12975
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,761465.0,ns,17300
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,952653.0,ns,21625
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,1129197.0,ns,25950
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,1321159.0,ns,30275
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,1490851.0,ns,34600
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,1708564.0,ns,38925
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,1867833.0,ns,43250
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,2058122.0,ns,47575
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,2341120.0,ns,51900
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,2501618.0,ns,56225
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,2900174.0,ns,60550
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,2874916.0,ns,64875
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,3198874.0,ns,69200
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,3288136.0,ns,73525
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,3360449.0,ns,77850
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,3732519.0,ns,82175
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,3865516.0,ns,86500
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,4020517.0,ns,90825
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,4147372.0,ns,95150
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,4482454.0,ns,99475
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,4572056.0,ns,103800
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,5182721.0,ns,108125
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,4978006.0,ns,112450
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,5428317.0,ns,116775
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,5483875.0,ns,121100
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,6213579.0,ns,125425
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,5998984.0,ns,129750
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,6452004.0,ns,134075
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,6455114.0,ns,138400
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,7211250.0,ns,142725
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,6835372.0,ns,147050
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,7625183.0,ns,151375
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,7700458.0,ns,155700
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,8062191.0,ns,160025
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,8063591.0,ns,164350
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,8870302.0,ns,168675
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,8501194.0,ns,173000
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,9273078.0,ns,177325
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,9231809.0,ns,181650
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,9862307.0,ns,185975
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,10055133.0,ns,190300
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,10281597.0,ns,194625
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,10151281.0,ns,198950
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,11271011.0,ns,203275
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,10859146.0,ns,207600
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,12200193.0,ns,211925
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,11161382.0,ns,216250
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,13027683.0,ns,220575
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,11915567.0,ns,224900
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,12853393.0,ns,229225
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,12791299.0,ns,233550
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,13261123.0,ns,237875
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,13382343.0,ns,242200
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,13936528.0,ns,246525
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,13757854.0,ns,250850
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,14807506.0,ns,255175
encode_checked/ascii,encoding_rs* 0.8.28,256,256,bytes,14122716.0,ns,259500
