group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,918162.0,ns,171
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,1833093.0,ns,342
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,2744849.0,ns,513
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,3667742.0,ns,684
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,4590023.0,ns,855
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,5512517.0,ns,1026
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,6436009.0,ns,1197
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,7493042.0,ns,1368
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,8312590.0,ns,1539
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,9216542.0,ns,1710
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,10303593.0,ns,1881
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,11090463.0,ns,2052
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,11960001.0,ns,2223
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,13034315.0,ns,2394
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,13836906.0,ns,2565
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,14752122.0,ns,2736
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,15826024.0,ns,2907
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,16569642.0,ns,3078
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,17658735.0,ns,3249
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,18577343.0,ns,3420
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,19411419.0,ns,3591
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,20366245.0,ns,3762
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,21209863.0,ns,3933
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,22227949.0,ns,4104
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,23158691.0,ns,4275
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,24111297.0,ns,4446
encode_checked/ascii,oem_cp 1.1.0,4096,4096,bytes,25097618.0,ns,4617
