group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,992982.0,ns,1107
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,1961844.0,ns,2214
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,2847052.0,ns,3321
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,3882298.0,ns,4428
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,4725085.0,ns,5535
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,5675557.0,ns,6642
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,6676272.0,ns,7749
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,7719860.0,ns,8856
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,8642725.0,ns,9963
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,9519407.0,ns,11070
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,10419164.0,ns,12177
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,11330097.0,ns,13284
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,12410214.0,ns,14391
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,13233472.0,ns,15498
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,14314723.0,ns,16605
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,15073251.0,ns,17712
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,16137993.0,ns,18819
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,17007015.0,ns,19926
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,18179055.0,ns,21033
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,18961134.0,ns,22140
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,20013642.0,ns,23247
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,20833848.0,ns,24354
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,21746681.0,ns,25461
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,22738983.0,ns,26568
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,23637101.0,ns,27675
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,24569010.0,ns,28782
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,25660721.0,ns,29889
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,26532706.0,ns,30996
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,27551006.0,ns,32103
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,28544787.0,ns,33210
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,29314945.0,ns,34317
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,30618393.0,ns,35424
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,31257203.0,ns,36531
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,32405710.0,ns,37638
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,33119550.0,ns,38745
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,34472789.0,ns,39852
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,35006860.0,ns,40959
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,36124414.0,ns,42066
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,36959373.0,ns,43173
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,37932764.0,ns,44280
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,38804875.0,ns,45387
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,39808887.0,ns,46494
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,40744478.0,ns,47601
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,41744923.0,ns,48708
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,42721745.0,ns,49815
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,43698005.0,ns,50922
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,44498270.0,ns,52029
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,45587131.0,ns,53136
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,46619198.0,ns,54243
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,47263063.0,ns,55350
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,48476103.0,ns,56457
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,49018848.0,ns,57564
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,50369976.0,ns,58671
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,51099412.0,ns,59778
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,52167608.0,ns,60885
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,53201783.0,ns,61992
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,53921692.0,ns,63099
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,55225648.0,ns,64206
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,56017022.0,ns,65313
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,56891420.0,ns,66420
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,57842963.0,ns,67527
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,58708041.0,ns,68634
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,59691468.0,ns,69741
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,60781353.0,ns,70848
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,61618040.0,ns,71955
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,62507258.0,ns,73062
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,63242105.0,ns,74169
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,64339604.0,ns,75276
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,65308803.0,ns,76383
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,66211926.0,ns,77490
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,67291965.0,ns,78597
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,68197598.0,ns,79704
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,69118796.0,ns,80811
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,70580437.0,ns,81918
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,70882795.0,ns,83025
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,71997185.0,ns,84132
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,72853769.0,ns,85239
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,74009794.0,ns,86346
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,74795912.0,ns,87453
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,75628557.0,ns,88560
encode_checked/ascii,oem_cp 1.1.0,512,512,bytes,76708536.0,ns,89667
