group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/ascii,yore 0.3.0,256,256,bytes,584121.0,ns,46746
encode_checked/ascii,yore 0.3.0,256,256,bytes,1162911.0,ns,93492
encode_checked/ascii,yore 0.3.0,256,256,bytes,1895887.0,ns,140238
encode_checked/ascii,yore 0.3.0,256,256,bytes,2330631.0,ns,186984
encode_checked/ascii,yore 0.3.0,256,256,bytes,2912339.0,ns,233730
encode_checked/ascii,yore 0.3.0,256,256,bytes,3521081.0,ns,280476
encode_checked/ascii,yore 0.3.0,256,256,bytes,4076125.0,ns,327222
encode_checked/ascii,yore 0.3.0,256,256,bytes,4658284.0,ns,373968
encode_checked/ascii,yore 0.3.0,256,256,bytes,5555357.0,ns,420714
encode_checked/ascii,yore 0.3.0,256,256,bytes,5921438.0,ns,467460
encode_checked/ascii,yore 0.3.0,256,256,bytes,6543503.0,ns,514206
encode_checked/ascii,yore 0.3.0,256,256,bytes,6988659.0,ns,560952
encode_checked/ascii,yore 0.3.0,256,256,bytes,7570169.0,ns,607698
encode_checked/ascii,yore 0.3.0,256,256,bytes,8152137.0,ns,654444
encode_checked/ascii,yore 0.3.0,256,256,bytes,8830467.0,ns,701190
encode_checked/ascii,yore 0.3.0,256,256,bytes,9395666.0,ns,747936
encode_checked/ascii,yore 0.3.0,256,256,bytes,9965013.0,ns,794682
encode_checked/ascii,yore 0.3.0,256,256,bytes,10727990.0,ns,841428
encode_checked/ascii,yore 0.3.0,256,256,bytes,11062527.0,ns,888174
encode_checked/ascii,yore 0.3.0,256,256,bytes,11647592.0,ns,934920
encode_checked/ascii,yore 0.3.0,256,256,bytes,12627806.0,ns,981666
encode_checked/ascii,yore 0.3.0,256,256,bytes,12825080.0,ns,1028412
encode_checked/ascii,yore 0.3.0,256,256,bytes,13528561.0,ns,1075158
encode_checked/ascii,yore 0.3.0,256,256,bytes,14044026.0,ns,1121904
encode_checked/ascii,yore 0.3.0,256,256,bytes,14634972.0,ns,1168650
encode_checked/ascii,yore 0.3.0,256,256,bytes,15334732.0,ns,1215396
encode_checked/ascii,yore 0.3.0,256,256,bytes,15716901.0,ns,1262142
encode_checked/ascii,yore 0.3.0,256,256,bytes,16388379.0,ns,1308888
encode_checked/ascii,yore 0.3.0,256,256,bytes,16880586.0,ns,1355634
encode_checked/ascii,yore 0.3.0,256,256,bytes,17554641.0,ns,1402380
encode_checked/ascii,yore 0.3.0,256,256,bytes,18304609.0,ns,1449126
encode_checked/ascii,yore 0.3.0,256,256,bytes,18661527.0,ns,1495872
encode_checked/ascii,yore 0.3.0,256,256,bytes,19406927.0,ns,1542618
encode_checked/ascii,yore 0.3.0,256,256,bytes,19912598.0,ns,1589364
encode_checked/ascii,yore 0.3.0,256,256,bytes,20564753.0,ns,1636110
encode_checked/ascii,yore 0.3.0,256,256,bytes,21191414.0,ns,1682856
encode_checked/ascii,yore 0.3.0,256,256,bytes,21967828.0,ns,1729602
encode_checked/ascii,yore 0.3.0,256,256,bytes,22180486.0,ns,1776348
encode_checked/ascii,yore 0.3.0,256,256,bytes,22949620.0,ns,1823094
encode_checked/ascii,yore 0.3.0,256,256,bytes,23427719.0,ns,1869840
encode_checked/ascii,yore 0.3.0,256,256,bytes,23973755.0,ns,1916586
encode_checked/ascii,yore 0.3.0,256,256,bytes,24515733.0,ns,1963332
encode_checked/ascii,yore 0.3.0,256,256,bytes,25295743.0,ns,2010078
encode_checked/ascii,yore 0.3.0,256,256,bytes,26020974.0,ns,2056824
encode_checked/ascii,yore 0.3.0,256,256,bytes,26406939.0,ns,2103570
encode_checked/ascii,yore 0.3.0,256,256,bytes,27001945.0,ns,2150316
