group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,971112.0,ns,7465
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,1953581.0,ns,14930
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,2963500.0,ns,22395
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,3867975.0,ns,29860
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,4889384.0,ns,37325
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,5808576.0,ns,44790
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,7298029.0,ns,52255
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,7973659.0,ns,59720
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,8775229.0,ns,67185
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,9718009.0,ns,74650
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,10855340.0,ns,82115
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,11620618.0,ns,89580
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,12735734.0,ns,97045
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,13592580.0,ns,104510
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,14518569.0,ns,111975
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,15584653.0,ns,119440
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,16545508.0,ns,126905
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,17715136.0,ns,134370
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,19102195.0,ns,141835
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,19520658.0,ns,149300
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,20411400.0,ns,156765
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,21377211.0,ns,164230
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,22492263.0,ns,171695
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,23348547.0,ns,179160
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,24209519.0,ns,186625
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,25382854.0,ns,194090
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,26290899.0,ns,201555
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,27323308.0,ns,209020
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,28299072.0,ns,216485
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,29249376.0,ns,223950
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,30093923.0,ns,231415
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,31120215.0,ns,238880
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,32104278.0,ns,246345
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,33062381.0,ns,253810
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,34018465.0,ns,261275
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,35211029.0,ns,268740
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,36040447.0,ns,276205
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,37145278.0,ns,283670
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,37955733.0,ns,291135
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,39470488.0,ns,298600
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,39988493.0,ns,306065
encode_checked/ascii,yore 0.3.0,4096,4096,bytes,40957678.0,ns,313530
