group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,756357.0,ns,663
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,1453957.0,ns,1326
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,2211054.0,ns,1989
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,2908110.0,ns,2652
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,3688694.0,ns,3315
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,4363055.0,ns,3978
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,5146156.0,ns,4641
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,6016629.0,ns,5304
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,6697029.0,ns,5967
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,7410126.0,ns,6630
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,8029971.0,ns,7293
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,8756061.0,ns,7956
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,9691458.0,ns,8619
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,10281228.0,ns,9282
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,10956926.0,ns,9945
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,11892556.0,ns,10608
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,12481017.0,ns,11271
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,13155010.0,ns,11934
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,14053665.0,ns,12597
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,14613687.0,ns,13260
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,15875333.0,ns,13923
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,16057673.0,ns,14586
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,16974082.0,ns,15249
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,17546147.0,ns,15912
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,18604414.0,ns,16575
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,19275956.0,ns,17238
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,19798210.0,ns,17901
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,20684575.0,ns,18564
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,21192240.0,ns,19227
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,22060142.0,ns,19890
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,22768132.0,ns,20553
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,23540254.0,ns,21216
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,24136069.0,ns,21879
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,24991973.0,ns,22542
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,25758743.0,ns,23205
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,26605946.0,ns,23868
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,27042464.0,ns,24531
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,27937060.0,ns,25194
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,28646848.0,ns,25857
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,29451632.0,ns,26520
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,30141881.0,ns,27183
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,30907803.0,ns,27846
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,31620205.0,ns,28509
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,32461550.0,ns,29172
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,33503418.0,ns,29835
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,33879057.0,ns,30498
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,34542177.0,ns,31161
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,35467617.0,ns,31824
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,36005186.0,ns,32487
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,36828328.0,ns,33150
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,37765238.0,ns,33813
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,38352866.0,ns,34476
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,39102967.0,ns,35139
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,39743981.0,ns,35802
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,40434558.0,ns,36465
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,41341253.0,ns,37128
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,41864367.0,ns,37791
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,42754410.0,ns,38454
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,43515600.0,ns,39117
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,44185773.0,ns,39780
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,44797032.0,ns,40443
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,45955742.0,ns,41106
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,46401915.0,ns,41769
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,47187992.0,ns,42432
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,47828718.0,ns,43095
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,48491864.0,ns,43758
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,49509322.0,ns,44421
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,50291172.0,ns,45084
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,50591156.0,ns,45747
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,51562109.0,ns,46410
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,52307707.0,ns,47073
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,53302305.0,ns,47736
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,54788401.0,ns,48399
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,54498787.0,ns,49062
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,56471567.0,ns,49725
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,56154864.0,ns,50388
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,56645085.0,ns,51051
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,57644229.0,ns,51714
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,58125572.0,ns,52377
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,58899903.0,ns,53040
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,59810747.0,ns,53703
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,60774620.0,ns,54366
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,61582079.0,ns,55029
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,62025039.0,ns,55692
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,62639473.0,ns,56355
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,63521503.0,ns,57018
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,64481354.0,ns,57681
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,64695605.0,ns,58344
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,65948890.0,ns,59007
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,66282622.0,ns,59670
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,67096300.0,ns,60333
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,68108587.0,ns,60996
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,68644016.0,ns,61659
encode_checked/extended,encoding_rs* 0.8.28,256,256,bytes,69420775.0,ns,62322
