group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,656221.0,ns,10544
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,1293528.0,ns,21088
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,2068087.0,ns,31632
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,2577797.0,ns,42176
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,3249049.0,ns,52720
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,3855693.0,ns,63264
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,4499288.0,ns,73808
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,5207039.0,ns,84352
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,5796241.0,ns,94896
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,6516637.0,ns,105440
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,7063465.0,ns,115984
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,7700905.0,ns,126528
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,8534593.0,ns,137072
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,9041710.0,ns,147616
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,9717258.0,ns,158160
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,10409293.0,ns,168704
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,10922507.0,ns,179248
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,11717773.0,ns,189792
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,12348390.0,ns,200336
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,12947628.0,ns,210880
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,13537441.0,ns,221424
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,14144557.0,ns,231968
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,14863235.0,ns,242512
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,15596057.0,ns,253056
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,16010083.0,ns,263600
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,16881018.0,ns,274144
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,17318543.0,ns,284688
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,18116564.0,ns,295232
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,18800891.0,ns,305776
encode_checked/extended,encoding_rs* 0.8.28,8,8,bytes,19575316.0,ns,316320
