group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,991968.0,ns,746
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,1919673.0,ns,1492
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,2878474.0,ns,2238
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,3833021.0,ns,2984
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,4809633.0,ns,3730
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,5739830.0,ns,4476
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,6842853.0,ns,5222
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,7715604.0,ns,5968
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,8675700.0,ns,6714
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,9637653.0,ns,7460
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,10682788.0,ns,8206
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,11482332.0,ns,8952
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,12694981.0,ns,9698
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,13523503.0,ns,10444
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,14413488.0,ns,11190
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,15472341.0,ns,11936
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,16295738.0,ns,12682
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,17346944.0,ns,13428
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,18183253.0,ns,14174
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,19225842.0,ns,14920
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,20197234.0,ns,15666
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,21063589.0,ns,16412
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,22213101.0,ns,17158
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,23092773.0,ns,17904
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,24031887.0,ns,18650
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,25128361.0,ns,19396
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,26090697.0,ns,20142
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,26990828.0,ns,20888
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,27904293.0,ns,21634
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,28939128.0,ns,22380
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,29691449.0,ns,23126
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,30767813.0,ns,23872
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,31799419.0,ns,24618
encode_checked/extended,oem_cp 1.1.0,256,256,bytes,32848156.0,ns,25364
