group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/extended,yore 0.3.0,256,256,bytes,981578.0,ns,1050
encode_checked/extended,yore 0.3.0,256,256,bytes,1893768.0,ns,2100
encode_checked/extended,yore 0.3.0,256,256,bytes,2896762.0,ns,3150
encode_checked/extended,yore 0.3.0,256,256,bytes,3903471.0,ns,4200
encode_checked/extended,yore 0.3.0,256,256,bytes,4745797.0,ns,5250
encode_checked/extended,yore 0.3.0,256,256,bytes,5732420.0,ns,6300
encode_checked/extended,yore 0.3.0,256,256,bytes,6745474.0,ns,7350
encode_checked/extended,yore 0.3.0,256,256,bytes,7675747.0,ns,8400
encode_checked/extended,yore 0.3.0,256,256,bytes,8840250.0,ns,9450
encode_checked/extended,yore 0.3.0,256,256,bytes,9459899.0,ns,10500
encode_checked/extended,yore 0.3.0,256,256,bytes,10454844.0,ns,11550
encode_checked/extended,yore 0.3.0,256,256,bytes,11473808.0,ns,12600
encode_checked/extended,yore 0.3.0,256,256,bytes,12333037.0,ns,13650
encode_checked/extended,yore 0.3.0,256,256,bytes,13260204.0,ns,14700
encode_checked/extended,yore 0.3.0,256,256,bytes,14302913.0,ns,15750
encode_checked/extended,yore 0.3.0,256,256,bytes,15129754.0,ns,16800
encode_checked/extended,yore 0.3.0,256,256,bytes,17198688.0,ns,17850
encode_checked/extended,yore 0.3.0,256,256,bytes,17126808.0,ns,18900
encode_checked/extended,yore 0.3.0,256,256,bytes,18119378.0,ns,19950
encode_checked/extended,yore 0.3.0,256,256,bytes,19044233.0,ns,21000
encode_checked/extended,yore 0.3.0,256,256,bytes,19996520.0,ns,22050
encode_checked/extended,yore 0.3.0,256,256,bytes,21014500.0,ns,23100
encode_checked/extended,yore 0.3.0,256,256,bytes,21758062.0,ns,24150
encode_checked/extended,yore 0.3.0,256,256,bytes,23035024.0,ns,25200
encode_checked/extended,yore 0.3.0,256,256,bytes,23849295.0,ns,26250
encode_checked/extended,yore 0.3.0,256,256,bytes,24928326.0,ns,27300
encode_checked/extended,yore 0.3.0,256,256,bytes,25538467.0,ns,28350
encode_checked/extended,yore 0.3.0,256,256,bytes,26589136.0,ns,29400
encode_checked/extended,yore 0.3.0,256,256,bytes,27757876.0,ns,30450
encode_checked/extended,yore 0.3.0,256,256,bytes,28739502.0,ns,31500
encode_checked/extended,yore 0.3.0,256,256,bytes,29506608.0,ns,32550
encode_checked/extended,yore 0.3.0,256,256,bytes,30435905.0,ns,33600
encode_checked/extended,yore 0.3.0,256,256,bytes,32957534.0,ns,34650
encode_checked/extended,yore 0.3.0,256,256,bytes,32342357.0,ns,35700
encode_checked/extended,yore 0.3.0,256,256,bytes,33233774.0,ns,36750
encode_checked/extended,yore 0.3.0,256,256,bytes,34333152.0,ns,37800
encode_checked/extended,yore 0.3.0,256,256,bytes,35116634.0,ns,38850
encode_checked/extended,yore 0.3.0,256,256,bytes,36161587.0,ns,39900
encode_checked/extended,yore 0.3.0,256,256,bytes,36987952.0,ns,40950
