group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/extended,yore 0.3.0,64,64,bytes,932971.0,ns,3779
encode_checked/extended,yore 0.3.0,64,64,bytes,1819556.0,ns,7558
encode_checked/extended,yore 0.3.0,64,64,bytes,2725496.0,ns,11337
encode_checked/extended,yore 0.3.0,64,64,bytes,3625698.0,ns,15116
encode_checked/extended,yore 0.3.0,64,64,bytes,5041402.0,ns,18895
encode_checked/extended,yore 0.3.0,64,64,bytes,5611977.0,ns,22674
encode_checked/extended,yore 0.3.0,64,64,bytes,6746473.0,ns,26453
encode_checked/extended,yore 0.3.0,64,64,bytes,7364010.0,ns,30232
encode_checked/extended,yore 0.3.0,64,64,bytes,8275610.0,ns,34011
encode_checked/extended,yore 0.3.0,64,64,bytes,9324240.0,ns,37790
encode_checked/extended,yore 0.3.0,64,64,bytes,9958291.0,ns,41569
encode_checked/extended,yore 0.3.0,64,64,bytes,10885125.0,ns,45348
encode_checked/extended,yore 0.3.0,64,64,bytes,11825493.0,ns,49127
encode_checked/extended,yore 0.3.0,64,64,bytes,12656129.0,ns,52906
encode_checked/extended,yore 0.3.0,64,64,bytes,13547719.0,ns,56685
encode_checked/extended,yore 0.3.0,64,64,bytes,14632705.0,ns,60464
encode_checked/extended,yore 0.3.0,64,64,bytes,15878772.0,ns,64243
encode_checked/extended,yore 0.3.0,64,64,bytes,16491028.0,ns,68022
encode_checked/extended,yore 0.3.0,64,64,bytes,17150305.0,ns,71801
encode_checked/extended,yore 0.3.0,64,64,bytes,18197083.0,ns,75580
encode_checked/extended,yore 0.3.0,64,64,bytes,19143797.0,ns,79359
encode_checked/extended,yore 0.3.0,64,64,bytes,20259440.0,ns,83138
encode_checked/extended,yore 0.3.0,64,64,bytes,20971724.0,ns,86917
encode_checked/extended,yore 0.3.0,64,64,bytes,21908569.0,ns,90696
encode_checked/extended,yore 0.3.0,64,64,bytes,22624562.0,ns,94475
encode_checked/extended,yore 0.3.0,64,64,bytes,23621966.0,ns,98254
encode_checked/extended,yore 0.3.0,64,64,bytes,24633315.0,ns,102033
encode_checked/extended,yore 0.3.0,64,64,bytes,25645387.0,ns,105812
encode_checked/extended,yore 0.3.0,64,64,bytes,26364211.0,ns,109591
encode_checked/extended,yore 0.3.0,64,64,bytes,27094292.0,ns,113370
encode_checked/extended,yore 0.3.0,64,64,bytes,28054767.0,ns,117149
encode_checked/extended,yore 0.3.0,64,64,bytes,29075478.0,ns,120928
encode_checked/extended,yore 0.3.0,64,64,bytes,30076618.0,ns,124707
encode_checked/extended,yore 0.3.0,64,64,bytes,30896100.0,ns,128486
encode_checked/extended,yore 0.3.0,64,64,bytes,31934565.0,ns,132265
encode_checked/extended,yore 0.3.0,64,64,bytes,32784579.0,ns,136044
encode_checked/extended,yore 0.3.0,64,64,bytes,33920689.0,ns,139823
encode_checked/extended,yore 0.3.0,64,64,bytes,34525493.0,ns,143602
encode_checked/extended,yore 0.3.0,64,64,bytes,35636647.0,ns,147381
encode_checked/extended,yore 0.3.0,64,64,bytes,36825951.0,ns,151160
encode_checked/extended,yore 0.3.0,64,64,bytes,37400724.0,ns,154939
encode_checked/extended,yore 0.3.0,64,64,bytes,38718635.0,ns,158718
encode_checked/extended,yore 0.3.0,64,64,bytes,39613194.0,ns,162497
encode_checked/extended,yore 0.3.0,64,64,bytes,40412771.0,ns,166276
encode_checked/extended,yore 0.3.0,64,64,bytes,40780897.0,ns,170055
encode_checked/extended,yore 0.3.0,64,64,bytes,42513673.0,ns,173834
encode_checked/extended,yore 0.3.0,64,64,bytes,43530887.0,ns,177613
encode_checked/extended,yore 0.3.0,64,64,bytes,43836125.0,ns,181392
encode_checked/extended,yore 0.3.0,64,64,bytes,44820021.0,ns,185171
encode_checked/extended,yore 0.3.0,64,64,bytes,45368732.0,ns,188950
encode_checked/extended,yore 0.3.0,64,64,bytes,46282130.0,ns,192729
encode_checked/extended,yore 0.3.0,64,64,bytes,47561431.0,ns,196508
encode_checked/extended,yore 0.3.0,64,64,bytes,48301186.0,ns,200287
encode_checked/extended,yore 0.3.0,64,64,bytes,49068908.0,ns,204066
encode_checked/extended,yore 0.3.0,64,64,bytes,50616138.0,ns,207845
encode_checked/extended,yore 0.3.0,64,64,bytes,50776487.0,ns,211624
encode_checked/extended,yore 0.3.0,64,64,bytes,52024851.0,ns,215403
encode_checked/extended,yore 0.3.0,64,64,bytes,52736628.0,ns,219182
encode_checked/extended,yore 0.3.0,64,64,bytes,53881010.0,ns,222961
