group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,575682.0,ns,2198
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,1067421.0,ns,4396
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,1797434.0,ns,6594
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,2373213.0,ns,8792
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,3044956.0,ns,10990
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,3682761.0,ns,13188
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,4347945.0,ns,15386
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,4211281.0,ns,17584
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,4428714.0,ns,19782
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,5730721.0,ns,21980
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,6295110.0,ns,24178
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,6163257.0,ns,26376
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,6875264.0,ns,28574
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,6439932.0,ns,30772
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,10139249.0,ns,32970
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,9720763.0,ns,35168
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,11554616.0,ns,37366
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,12939367.0,ns,39564
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,11472901.0,ns,41762
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,10283058.0,ns,43960
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,11565440.0,ns,46158
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,13417112.0,ns,48356
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,10916267.0,ns,50554
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,9098941.0,ns,52752
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,12092229.0,ns,54950
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,19298484.0,ns,57148
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,16728977.0,ns,59346
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,17541127.0,ns,61544
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,13236194.0,ns,63742
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,14937258.0,ns,65940
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,17402580.0,ns,68138
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,16187198.0,ns,70336
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,15145562.0,ns,72534
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,19983270.0,ns,74732
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,20593867.0,ns,76930
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,24000167.0,ns,79128
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,24185682.0,ns,81326
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,23602566.0,ns,83524
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,24150999.0,ns,85722
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,21623796.0,ns,87920
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,25331722.0,ns,90118
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,29894296.0,ns,92316
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,26552879.0,ns,94514
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,28265200.0,ns,96712
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,23515399.0,ns,98910
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,26800278.0,ns,101108
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,35520469.0,ns,103306
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,20060647.0,ns,105504
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,21474333.0,ns,107702
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,31019050.0,ns,109900
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,31153477.0,ns,112098
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,30887354.0,ns,114296
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,32843767.0,ns,116494
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,22775435.0,ns,118692
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,32576106.0,ns,120890
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,33137080.0,ns,123088
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,31083156.0,ns,125286
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,33924796.0,ns,127484
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,40857342.0,ns,129682
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,25257139.0,ns,131880
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,43502241.0,ns,134078
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,32213748.0,ns,136276
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,34966387.0,ns,138474
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,50680452.0,ns,140672
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,36133144.0,ns,142870
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,39303190.0,ns,145068
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,44406482.0,ns,147266
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,41611024.0,ns,149464
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,46750988.0,ns,151662
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,41138004.0,ns,153860
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,47459752.0,ns,156058
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,29180161.0,ns,158256
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,41236985.0,ns,160454
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,42893438.0,ns,162652
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,51132226.0,ns,164850
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,43658693.0,ns,167048
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,46483604.0,ns,169246
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,43987359.0,ns,171444
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,44353630.0,ns,173642
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,51524149.0,ns,175840
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,49325770.0,ns,178038
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,35076661.0,ns,180236
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,47494651.0,ns,182434
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,48094655.0,ns,184632
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,47086193.0,ns,186830
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,54461959.0,ns,189028
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,56419359.0,ns,191226
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,41082019.0,ns,193424
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,49932696.0,ns,195622
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,51637540.0,ns,197820
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,51090529.0,ns,200018
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,48155933.0,ns,202216
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,52241957.0,ns,204414
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,49505393.0,ns,206612
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,44577023.0,ns,208810
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,52343008.0,ns,211008
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,57196925.0,ns,213206
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,48848092.0,ns,215404
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,53874235.0,ns,217602
encode_checked/mostly_ascii,encoding_rs* 0.8.28,256,256,bytes,67177612.0,ns,219800
