group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,522665.0,ns,5879
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,596829.0,ns,11758
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,1656216.0,ns,17637
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,2036833.0,ns,23516
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,2445266.0,ns,29395
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,3808034.0,ns,35274
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,3876169.0,ns,41153
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,3408906.0,ns,47032
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,5428418.0,ns,52911
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,4188340.0,ns,58790
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,5722151.0,ns,64669
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,9225264.0,ns,70548
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,7781986.0,ns,76427
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,9560789.0,ns,82306
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,8571935.0,ns,88185
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,7900293.0,ns,94064
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,11153126.0,ns,99943
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,8892148.0,ns,105822
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,9806708.0,ns,111701
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,11278866.0,ns,117580
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,10511563.0,ns,123459
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,11444148.0,ns,129338
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,13323024.0,ns,135217
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,10949456.0,ns,141096
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,7662007.0,ns,146975
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,13030547.0,ns,152854
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,13565838.0,ns,158733
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,16546097.0,ns,164612
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,10574198.0,ns,170491
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,15622721.0,ns,176370
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,23537891.0,ns,182249
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,14185951.0,ns,188128
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,16558258.0,ns,194007
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,16827324.0,ns,199886
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,20434142.0,ns,205765
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,15472944.0,ns,211644
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,28319545.0,ns,217523
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,18189959.0,ns,223402
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,11980493.0,ns,229281
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,16183666.0,ns,235160
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,20474941.0,ns,241039
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,12737768.0,ns,246918
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,26026717.0,ns,252797
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,27514322.0,ns,258676
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,25512853.0,ns,264555
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,18248769.0,ns,270434
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,21535782.0,ns,276313
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,31251644.0,ns,282192
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,28483223.0,ns,288071
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,30056729.0,ns,293950
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,27017618.0,ns,299829
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,21823937.0,ns,305708
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,23206101.0,ns,311587
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,29934050.0,ns,317466
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,27963820.0,ns,323345
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,29285384.0,ns,329224
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,22627967.0,ns,335103
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,29551957.0,ns,340982
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,19104397.0,ns,346861
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,18028829.0,ns,352740
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,35371526.0,ns,358619
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,38200778.0,ns,364498
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,35658841.0,ns,370377
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,32600489.0,ns,376256
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,31748737.0,ns,382135
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,40585756.0,ns,388014
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,44447673.0,ns,393893
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,29778750.0,ns,399772
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,34127215.0,ns,405651
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,44055521.0,ns,411530
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,27411450.0,ns,417409
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,32027033.0,ns,423288
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,53271821.0,ns,429167
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,43579757.0,ns,435046
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,38217135.0,ns,440925
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,46707899.0,ns,446804
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,21198271.0,ns,452683
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,37136528.0,ns,458562
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,58025979.0,ns,464441
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,27406814.0,ns,470320
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,46318946.0,ns,476199
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,22800727.0,ns,482078
encode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,35999476.0,ns,487957
