group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,913334.0,ns,1618
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,1846583.0,ns,3236
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,2728826.0,ns,4854
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,3595422.0,ns,6472
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,4612326.0,ns,8090
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,5720482.0,ns,9708
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,6688185.0,ns,11326
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,7205973.0,ns,12944
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,8359147.0,ns,14562
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,9184319.0,ns,16180
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,9755823.0,ns,17798
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,10883149.0,ns,19416
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,12108502.0,ns,21034
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,13311581.0,ns,22652
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,14244266.0,ns,24270
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,15189459.0,ns,25888
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,16240025.0,ns,27506
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,17388869.0,ns,29124
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,16795132.0,ns,30742
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,18509010.0,ns,32360
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,19836501.0,ns,33978
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,21104854.0,ns,35596
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,20819833.0,ns,37214
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,22032196.0,ns,38832
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,22498739.0,ns,40450
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,24466190.0,ns,42068
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,25007157.0,ns,43686
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,26334039.0,ns,45304
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,25563601.0,ns,46922
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,27063188.0,ns,48540
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,28222554.0,ns,50158
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,29327885.0,ns,51776
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,30538246.0,ns,53394
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,31540294.0,ns,55012
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,32181343.0,ns,56630
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,32699054.0,ns,58248
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,34916273.0,ns,59866
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,35919528.0,ns,61484
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,35807371.0,ns,63102
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,35676148.0,ns,64720
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,37510105.0,ns,66338
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,38216064.0,ns,67956
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,40327660.0,ns,69574
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,40193328.0,ns,71192
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,42015615.0,ns,72810
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,41235886.0,ns,74428
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,43385124.0,ns,76046
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,44102047.0,ns,77664
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,44354678.0,ns,79282
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,45262489.0,ns,80900
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,46900637.0,ns,82518
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,47412728.0,ns,84136
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,48560815.0,ns,85754
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,48711906.0,ns,87372
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,50136227.0,ns,88990
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,51769051.0,ns,90608
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,51557277.0,ns,92226
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,53013067.0,ns,93844
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,54881624.0,ns,95462
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,53649806.0,ns,97080
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,58801011.0,ns,98698
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,56159206.0,ns,100316
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,58249016.0,ns,101934
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,61618205.0,ns,103552
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,58412089.0,ns,105170
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,58422680.0,ns,106788
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,61251476.0,ns,108406
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,62404247.0,ns,110024
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,63370355.0,ns,111642
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,64225278.0,ns,113260
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,65153371.0,ns,114878
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,64664834.0,ns,116496
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,66441603.0,ns,118114
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,67029570.0,ns,119732
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,68043739.0,ns,121350
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,69595505.0,ns,122968
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,71124811.0,ns,124586
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,73007771.0,ns,126204
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,72059351.0,ns,127822
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,72947465.0,ns,129440
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,73470680.0,ns,131058
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,74101556.0,ns,132676
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,76597097.0,ns,134294
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,75396571.0,ns,135912
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,78226454.0,ns,137530
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,80858539.0,ns,139148
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,82397845.0,ns,140766
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,79799622.0,ns,142384
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,78865970.0,ns,144002
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,82048603.0,ns,145620
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,81726497.0,ns,147238
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,85604297.0,ns,148856
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,84922585.0,ns,150474
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,85287375.0,ns,152092
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,86247928.0,ns,153710
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,86567670.0,ns,155328
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,88230459.0,ns,156946
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,88330522.0,ns,158564
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,92252200.0,ns,160182
encode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,91727863.0,ns,161800
