group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,974461.0,ns,131
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,1904424.0,ns,262
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,2837951.0,ns,393
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,3822888.0,ns,524
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,5061102.0,ns,655
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,5611203.0,ns,786
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,7324663.0,ns,917
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,7749682.0,ns,1048
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,8659389.0,ns,1179
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,9328866.0,ns,1310
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,10530575.0,ns,1441
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,11736392.0,ns,1572
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,12614776.0,ns,1703
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,13161287.0,ns,1834
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,14120752.0,ns,1965
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,15719007.0,ns,2096
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,15959710.0,ns,2227
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,17351361.0,ns,2358
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,18111261.0,ns,2489
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,19270618.0,ns,2620
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,20298857.0,ns,2751
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,21475257.0,ns,2882
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,21730541.0,ns,3013
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,23009812.0,ns,3144
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,24770862.0,ns,3275
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,25719397.0,ns,3406
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,25429428.0,ns,3537
encode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,27147496.0,ns,3668
