group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,871389.0,ns,2753
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,1846328.0,ns,5506
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,2483512.0,ns,8259
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,3435055.0,ns,11012
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,4304766.0,ns,13765
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,4985897.0,ns,16518
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,6117726.0,ns,19271
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,7292069.0,ns,22024
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,7584598.0,ns,24777
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,8182623.0,ns,27530
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,8930544.0,ns,30283
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,9647895.0,ns,33036
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,10235028.0,ns,35789
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,12755219.0,ns,38542
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,13173785.0,ns,41295
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,14077996.0,ns,44048
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,15353053.0,ns,46801
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,15829465.0,ns,49554
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,15421341.0,ns,52307
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,17186044.0,ns,55060
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,19166168.0,ns,57813
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,17459474.0,ns,60566
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,18149301.0,ns,63319
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,20477255.0,ns,66072
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,21991505.0,ns,68825
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,21572056.0,ns,71578
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,24842043.0,ns,74331
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,23655385.0,ns,77084
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,24563521.0,ns,79837
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,23985847.0,ns,82590
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,25628575.0,ns,85343
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,25767213.0,ns,88096
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,27835741.0,ns,90849
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,31067867.0,ns,93602
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,29849409.0,ns,96355
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,33467562.0,ns,99108
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,31931544.0,ns,101861
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,34371629.0,ns,104614
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,30968009.0,ns,107367
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,35841502.0,ns,110120
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,35697960.0,ns,112873
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,35949948.0,ns,115626
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,36439728.0,ns,118379
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,37029341.0,ns,121132
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,40171368.0,ns,123885
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,43804492.0,ns,126638
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,36246859.0,ns,129391
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,37346334.0,ns,132144
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,41195937.0,ns,134897
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,43716324.0,ns,137650
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,44400682.0,ns,140403
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,47405018.0,ns,143156
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,42568578.0,ns,145909
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,49138565.0,ns,148662
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,46057980.0,ns,151415
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,49303038.0,ns,154168
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,47370502.0,ns,156921
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,50472465.0,ns,159674
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,46612992.0,ns,162427
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,52670799.0,ns,165180
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,48906659.0,ns,167933
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,54254664.0,ns,170686
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,57108633.0,ns,173439
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,52271058.0,ns,176192
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,53526659.0,ns,178945
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,56563540.0,ns,181698
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,61532607.0,ns,184451
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,58585957.0,ns,187204
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,55358502.0,ns,189957
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,59255262.0,ns,192710
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,56233901.0,ns,195463
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,59773621.0,ns,198216
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,65105303.0,ns,200969
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,64110188.0,ns,203722
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,61974675.0,ns,206475
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,64375072.0,ns,209228
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,62957289.0,ns,211981
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,65121678.0,ns,214734
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,69324446.0,ns,217487
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,66458534.0,ns,220240
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,64833915.0,ns,222993
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,70788230.0,ns,225746
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,75649861.0,ns,228499
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,70218899.0,ns,231252
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,71997770.0,ns,234005
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,74690356.0,ns,236758
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,69018808.0,ns,239511
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,71236525.0,ns,242264
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,71841761.0,ns,245017
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,73495176.0,ns,247770
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,72159944.0,ns,250523
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,75485836.0,ns,253276
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,75648375.0,ns,256029
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,81207653.0,ns,258782
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,78235427.0,ns,261535
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,79030845.0,ns,264288
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,78311280.0,ns,267041
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,80021606.0,ns,269794
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,85387585.0,ns,272547
encode_checked/mostly_ascii,yore 0.3.0,256,256,bytes,82474755.0,ns,275300
