group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,142909.0,ns,18268
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,1300147.0,ns,36536
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,1946309.0,ns,54804
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,566763.0,ns,73072
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3223683.0,ns,91340
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,4037646.0,ns,109608
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,1022017.0,ns,127876
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,5242206.0,ns,146144
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,5815140.0,ns,164412
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,6463330.0,ns,182680
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,7563387.0,ns,200948
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,1720414.0,ns,219216
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,8414594.0,ns,237484
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,2005856.0,ns,255752
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,10705544.0,ns,274020
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,10405238.0,ns,292288
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,2628328.0,ns,310556
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,12280039.0,ns,328824
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,2732740.0,ns,347092
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,2899557.0,ns,365360
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,13582369.0,ns,383628
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,14247772.0,ns,401896
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3296813.0,ns,420164
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3441713.0,ns,438432
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,16876836.0,ns,456700
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3729250.0,ns,474968
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3899961.0,ns,493236
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,18202250.0,ns,511504
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,19726574.0,ns,529772
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,4306122.0,ns,548040
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,21987625.0,ns,566308
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,20874031.0,ns,584576
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,4737769.0,ns,602844
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,4878378.0,ns,621112
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,5019080.0,ns,639380
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,25824593.0,ns,657648
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,5344093.0,ns,675916
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,24453612.0,ns,694184
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,26320421.0,ns,712452
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,5853274.0,ns,730720
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,5879567.0,ns,748988
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,28311011.0,ns,767256
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,28020757.0,ns,785524
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,6314235.0,ns,803792
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,29397099.0,ns,822060
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,6603053.0,ns,840328
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,30562935.0,ns,858596
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,6895624.0,ns,876864
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,31762702.0,ns,895132
encode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,7232934.0,ns,913400
