group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,1147658.0,ns,18812
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,1972939.0,ns,37624
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,3056665.0,ns,56436
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,4131640.0,ns,75248
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,5057661.0,ns,94060
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,5915487.0,ns,112872
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,6901362.0,ns,131684
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,7839097.0,ns,150496
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,8913172.0,ns,169308
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,10002112.0,ns,188120
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,10911022.0,ns,206932
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,11980548.0,ns,225744
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,13034457.0,ns,244556
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,13822847.0,ns,263368
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,14808979.0,ns,282180
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,15978788.0,ns,300992
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,16591885.0,ns,319804
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,17708802.0,ns,338616
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,18950543.0,ns,357428
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,19844990.0,ns,376240
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,20879564.0,ns,395052
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,21750924.0,ns,413864
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,22709013.0,ns,432676
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,23629197.0,ns,451488
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,24730046.0,ns,470300
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,25725763.0,ns,489112
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,26760462.0,ns,507924
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,27783988.0,ns,526736
encode/extended/checked,oem_cp 1.1.0,24,24,bytes,28869887.0,ns,545548
