group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,1040440.0,ns,1704
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,2073583.0,ns,3408
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,3367680.0,ns,5112
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,4192323.0,ns,6816
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,5078766.0,ns,8520
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,6561049.0,ns,10224
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,6913612.0,ns,11928
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,7897546.0,ns,13632
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,8915898.0,ns,15336
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,9791242.0,ns,17040
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,10762996.0,ns,18744
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,11872859.0,ns,20448
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,12852857.0,ns,22152
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,13879694.0,ns,23856
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,14903396.0,ns,25560
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,15863388.0,ns,27264
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,16724674.0,ns,28968
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,17737877.0,ns,30672
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,18769063.0,ns,32376
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,20107357.0,ns,34080
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,21021789.0,ns,35784
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,21939529.0,ns,37488
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,22854650.0,ns,39192
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,23584587.0,ns,40896
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,24700971.0,ns,42600
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,25671730.0,ns,44304
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,26742100.0,ns,46008
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,27647447.0,ns,47712
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,28693091.0,ns,49416
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,29692900.0,ns,51120
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,30602008.0,ns,52824
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,31701891.0,ns,54528
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,32616280.0,ns,56232
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,33553563.0,ns,57936
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,34856458.0,ns,59640
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,35703077.0,ns,61344
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,36670647.0,ns,63048
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,37694586.0,ns,64752
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,38569083.0,ns,66456
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,39642328.0,ns,68160
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,40864493.0,ns,69864
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,41661895.0,ns,71568
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,42465657.0,ns,73272
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,43540792.0,ns,74976
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,45114475.0,ns,76680
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,45400296.0,ns,78384
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,46606891.0,ns,80088
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,47450184.0,ns,81792
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,48431646.0,ns,83496
encode/extended/checked,rust-encoding 0.2.33,384,384,bytes,49560296.0,ns,85200
