group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,yore 0.1.0,24,24,bytes,994404.0,ns,25957
encode/extended/checked,yore 0.1.0,24,24,bytes,1966134.0,ns,51914
encode/extended/checked,yore 0.1.0,24,24,bytes,2983619.0,ns,77871
encode/extended/checked,yore 0.1.0,24,24,bytes,4211724.0,ns,103828
encode/extended/checked,yore 0.1.0,24,24,bytes,5023440.0,ns,129785
encode/extended/checked,yore 0.1.0,24,24,bytes,5916977.0,ns,155742
encode/extended/checked,yore 0.1.0,24,24,bytes,7006801.0,ns,181699
encode/extended/checked,yore 0.1.0,24,24,bytes,7890003.0,ns,207656
encode/extended/checked,yore 0.1.0,24,24,bytes,8892050.0,ns,233613
encode/extended/checked,yore 0.1.0,24,24,bytes,9886833.0,ns,259570
encode/extended/checked,yore 0.1.0,24,24,bytes,10877287.0,ns,285527
encode/extended/checked,yore 0.1.0,24,24,bytes,11898180.0,ns,311484
encode/extended/checked,yore 0.1.0,24,24,bytes,12917717.0,ns,337441
encode/extended/checked,yore 0.1.0,24,24,bytes,13843344.0,ns,363398
encode/extended/checked,yore 0.1.0,24,24,bytes,14859003.0,ns,389355
encode/extended/checked,yore 0.1.0,24,24,bytes,15818353.0,ns,415312
encode/extended/checked,yore 0.1.0,24,24,bytes,16795821.0,ns,441269
encode/extended/checked,yore 0.1.0,24,24,bytes,17774835.0,ns,467226
encode/extended/checked,yore 0.1.0,24,24,bytes,18771891.0,ns,493183
encode/extended/checked,yore 0.1.0,24,24,bytes,19806260.0,ns,519140
encode/extended/checked,yore 0.1.0,24,24,bytes,20734052.0,ns,545097
encode/extended/checked,yore 0.1.0,24,24,bytes,21691995.0,ns,571054
encode/extended/checked,yore 0.1.0,24,24,bytes,22708359.0,ns,597011
encode/extended/checked,yore 0.1.0,24,24,bytes,23771214.0,ns,622968
encode/extended/checked,yore 0.1.0,24,24,bytes,24679240.0,ns,648925
encode/extended/checked,yore 0.1.0,24,24,bytes,25651522.0,ns,674882
encode/extended/checked,yore 0.1.0,24,24,bytes,26647822.0,ns,700839
encode/extended/checked,yore 0.1.0,24,24,bytes,27703852.0,ns,726796
encode/extended/checked,yore 0.1.0,24,24,bytes,28650921.0,ns,752753
encode/extended/checked,yore 0.1.0,24,24,bytes,29626675.0,ns,778710
encode/extended/checked,yore 0.1.0,24,24,bytes,30625511.0,ns,804667
encode/extended/checked,yore 0.1.0,24,24,bytes,31577712.0,ns,830624
encode/extended/checked,yore 0.1.0,24,24,bytes,32681300.0,ns,856581
encode/extended/checked,yore 0.1.0,24,24,bytes,33621109.0,ns,882538
