group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,yore 0.1.0,384,384,bytes,1126870.0,ns,2057
encode/extended/checked,yore 0.1.0,384,384,bytes,1983764.0,ns,4114
encode/extended/checked,yore 0.1.0,384,384,bytes,3080909.0,ns,6171
encode/extended/checked,yore 0.1.0,384,384,bytes,3981650.0,ns,8228
encode/extended/checked,yore 0.1.0,384,384,bytes,5086471.0,ns,10285
encode/extended/checked,yore 0.1.0,384,384,bytes,5951870.0,ns,12342
encode/extended/checked,yore 0.1.0,384,384,bytes,6910101.0,ns,14399
encode/extended/checked,yore 0.1.0,384,384,bytes,7952178.0,ns,16456
encode/extended/checked,yore 0.1.0,384,384,bytes,8850760.0,ns,18513
encode/extended/checked,yore 0.1.0,384,384,bytes,9881818.0,ns,20570
encode/extended/checked,yore 0.1.0,384,384,bytes,10875427.0,ns,22627
encode/extended/checked,yore 0.1.0,384,384,bytes,11932896.0,ns,24684
encode/extended/checked,yore 0.1.0,384,384,bytes,12926429.0,ns,26741
encode/extended/checked,yore 0.1.0,384,384,bytes,13936001.0,ns,28798
encode/extended/checked,yore 0.1.0,384,384,bytes,14805695.0,ns,30855
encode/extended/checked,yore 0.1.0,384,384,bytes,15812155.0,ns,32912
encode/extended/checked,yore 0.1.0,384,384,bytes,16798676.0,ns,34969
encode/extended/checked,yore 0.1.0,384,384,bytes,17773065.0,ns,37026
encode/extended/checked,yore 0.1.0,384,384,bytes,18707398.0,ns,39083
encode/extended/checked,yore 0.1.0,384,384,bytes,20542716.0,ns,41140
encode/extended/checked,yore 0.1.0,384,384,bytes,21023097.0,ns,43197
encode/extended/checked,yore 0.1.0,384,384,bytes,21967410.0,ns,45254
encode/extended/checked,yore 0.1.0,384,384,bytes,22724350.0,ns,47311
encode/extended/checked,yore 0.1.0,384,384,bytes,23813363.0,ns,49368
encode/extended/checked,yore 0.1.0,384,384,bytes,24803539.0,ns,51425
encode/extended/checked,yore 0.1.0,384,384,bytes,25651536.0,ns,53482
encode/extended/checked,yore 0.1.0,384,384,bytes,27031491.0,ns,55539
encode/extended/checked,yore 0.1.0,384,384,bytes,27545756.0,ns,57596
encode/extended/checked,yore 0.1.0,384,384,bytes,28597706.0,ns,59653
encode/extended/checked,yore 0.1.0,384,384,bytes,29556671.0,ns,61710
encode/extended/checked,yore 0.1.0,384,384,bytes,30742607.0,ns,63767
encode/extended/checked,yore 0.1.0,384,384,bytes,31621647.0,ns,65824
encode/extended/checked,yore 0.1.0,384,384,bytes,32582318.0,ns,67881
encode/extended/checked,yore 0.1.0,384,384,bytes,33742118.0,ns,69938
encode/extended/checked,yore 0.1.0,384,384,bytes,34580067.0,ns,71995
encode/extended/checked,yore 0.1.0,384,384,bytes,35668464.0,ns,74052
encode/extended/checked,yore 0.1.0,384,384,bytes,36594765.0,ns,76109
encode/extended/checked,yore 0.1.0,384,384,bytes,37739190.0,ns,78166
encode/extended/checked,yore 0.1.0,384,384,bytes,38604855.0,ns,80223
encode/extended/checked,yore 0.1.0,384,384,bytes,39453973.0,ns,82280
encode/extended/checked,yore 0.1.0,384,384,bytes,40370300.0,ns,84337
encode/extended/checked,yore 0.1.0,384,384,bytes,41576675.0,ns,86394
encode/extended/checked,yore 0.1.0,384,384,bytes,42313198.0,ns,88451
encode/extended/checked,yore 0.1.0,384,384,bytes,43789976.0,ns,90508
encode/extended/checked,yore 0.1.0,384,384,bytes,44487482.0,ns,92565
encode/extended/checked,yore 0.1.0,384,384,bytes,45687987.0,ns,94622
encode/extended/checked,yore 0.1.0,384,384,bytes,46271408.0,ns,96679
encode/extended/checked,yore 0.1.0,384,384,bytes,47177021.0,ns,98736
encode/extended/checked,yore 0.1.0,384,384,bytes,48360842.0,ns,100793
encode/extended/checked,yore 0.1.0,384,384,bytes,49548448.0,ns,102850
encode/extended/checked,yore 0.1.0,384,384,bytes,50638000.0,ns,104907
encode/extended/checked,yore 0.1.0,384,384,bytes,51594732.0,ns,106964
encode/extended/checked,yore 0.1.0,384,384,bytes,52454167.0,ns,109021
encode/extended/checked,yore 0.1.0,384,384,bytes,53340652.0,ns,111078
encode/extended/checked,yore 0.1.0,384,384,bytes,54537267.0,ns,113135
encode/extended/checked,yore 0.1.0,384,384,bytes,55608484.0,ns,115192
encode/extended/checked,yore 0.1.0,384,384,bytes,56316931.0,ns,117249
encode/extended/checked,yore 0.1.0,384,384,bytes,57486242.0,ns,119306
encode/extended/checked,yore 0.1.0,384,384,bytes,58423918.0,ns,121363
encode/extended/checked,yore 0.1.0,384,384,bytes,59095491.0,ns,123420
encode/extended/checked,yore 0.1.0,384,384,bytes,60261497.0,ns,125477
encode/extended/checked,yore 0.1.0,384,384,bytes,61407555.0,ns,127534
encode/extended/checked,yore 0.1.0,384,384,bytes,62421775.0,ns,129591
encode/extended/checked,yore 0.1.0,384,384,bytes,63460523.0,ns,131648
encode/extended/checked,yore 0.1.0,384,384,bytes,64504192.0,ns,133705
encode/extended/checked,yore 0.1.0,384,384,bytes,65075787.0,ns,135762
encode/extended/checked,yore 0.1.0,384,384,bytes,66442531.0,ns,137819
encode/extended/checked,yore 0.1.0,384,384,bytes,67472876.0,ns,139876
encode/extended/checked,yore 0.1.0,384,384,bytes,68026056.0,ns,141933
encode/extended/checked,yore 0.1.0,384,384,bytes,69346659.0,ns,143990
encode/extended/checked,yore 0.1.0,384,384,bytes,70373206.0,ns,146047
encode/extended/checked,yore 0.1.0,384,384,bytes,71086423.0,ns,148104
encode/extended/checked,yore 0.1.0,384,384,bytes,72138927.0,ns,150161
encode/extended/checked,yore 0.1.0,384,384,bytes,73299349.0,ns,152218
encode/extended/checked,yore 0.1.0,384,384,bytes,74114641.0,ns,154275
encode/extended/checked,yore 0.1.0,384,384,bytes,76536079.0,ns,156332
encode/extended/checked,yore 0.1.0,384,384,bytes,76797900.0,ns,158389
encode/extended/checked,yore 0.1.0,384,384,bytes,77339182.0,ns,160446
encode/extended/checked,yore 0.1.0,384,384,bytes,78117759.0,ns,162503
encode/extended/checked,yore 0.1.0,384,384,bytes,79044094.0,ns,164560
encode/extended/checked,yore 0.1.0,384,384,bytes,80122131.0,ns,166617
encode/extended/checked,yore 0.1.0,384,384,bytes,80990073.0,ns,168674
encode/extended/checked,yore 0.1.0,384,384,bytes,82300663.0,ns,170731
encode/extended/checked,yore 0.1.0,384,384,bytes,83021022.0,ns,172788
encode/extended/checked,yore 0.1.0,384,384,bytes,83942688.0,ns,174845
encode/extended/checked,yore 0.1.0,384,384,bytes,85187129.0,ns,176902
encode/extended/checked,yore 0.1.0,384,384,bytes,86120623.0,ns,178959
encode/extended/checked,yore 0.1.0,384,384,bytes,87131914.0,ns,181016
encode/extended/checked,yore 0.1.0,384,384,bytes,87853352.0,ns,183073
encode/extended/checked,yore 0.1.0,384,384,bytes,88848624.0,ns,185130
encode/extended/checked,yore 0.1.0,384,384,bytes,89903170.0,ns,187187
encode/extended/checked,yore 0.1.0,384,384,bytes,90988840.0,ns,189244
encode/extended/checked,yore 0.1.0,384,384,bytes,92115960.0,ns,191301
encode/extended/checked,yore 0.1.0,384,384,bytes,92934043.0,ns,193358
encode/extended/checked,yore 0.1.0,384,384,bytes,94005278.0,ns,195415
encode/extended/checked,yore 0.1.0,384,384,bytes,94731861.0,ns,197472
encode/extended/checked,yore 0.1.0,384,384,bytes,96052384.0,ns,199529
encode/extended/checked,yore 0.1.0,384,384,bytes,97291247.0,ns,201586
encode/extended/checked,yore 0.1.0,384,384,bytes,99902802.0,ns,203643
encode/extended/checked,yore 0.1.0,384,384,bytes,98791656.0,ns,205700
