group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,1148060.0,ns,2248
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,1976603.0,ns,4496
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,3127041.0,ns,6744
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,4401459.0,ns,8992
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,5126969.0,ns,11240
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,6007030.0,ns,13488
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,6907382.0,ns,15736
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,7894830.0,ns,17984
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,8886305.0,ns,20232
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,9884364.0,ns,22480
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,10857979.0,ns,24728
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,11867082.0,ns,26976
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,13199648.0,ns,29224
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,13876682.0,ns,31472
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,14835025.0,ns,33720
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,15829715.0,ns,35968
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,17007362.0,ns,38216
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,17778125.0,ns,40464
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,18784588.0,ns,42712
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,19769339.0,ns,44960
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,20756764.0,ns,47208
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,21730976.0,ns,49456
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,22763518.0,ns,51704
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,23239901.0,ns,53952
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,24037763.0,ns,56200
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,25194010.0,ns,58448
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,26695870.0,ns,60696
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,27660683.0,ns,62944
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,28719683.0,ns,65192
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,29638749.0,ns,67440
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,30685507.0,ns,69688
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,31569610.0,ns,71936
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,32671679.0,ns,74184
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,33606248.0,ns,76432
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,34610665.0,ns,78680
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,35624824.0,ns,80928
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,36573959.0,ns,83176
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,37453213.0,ns,85424
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,37791051.0,ns,87672
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,39536924.0,ns,89920
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,40524053.0,ns,92168
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,41496013.0,ns,94416
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,42544272.0,ns,96664
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,43495716.0,ns,98912
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,44566525.0,ns,101160
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,45575047.0,ns,103408
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,46469171.0,ns,105656
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,47567505.0,ns,107904
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,48411627.0,ns,110152
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,49561538.0,ns,112400
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,50496798.0,ns,114648
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,51429080.0,ns,116896
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,52353605.0,ns,119144
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,53527933.0,ns,121392
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,54438722.0,ns,123640
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,55367433.0,ns,125888
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,56374164.0,ns,128136
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,57320843.0,ns,130384
encode/extended/lossy,oem_cp 1.1.0,192,192,bytes,58370500.0,ns,132632
