group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,1121463.0,ns,7042
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,1973796.0,ns,14084
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,3068859.0,ns,21126
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,3952228.0,ns,28168
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,5269023.0,ns,35210
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,6132651.0,ns,42252
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,7017253.0,ns,49294
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,8025213.0,ns,56336
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,8999948.0,ns,63378
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,9895421.0,ns,70420
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,10869146.0,ns,77462
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,11997267.0,ns,84504
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,12847057.0,ns,91546
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,13838816.0,ns,98588
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,14819937.0,ns,105630
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,15790459.0,ns,112672
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,16835171.0,ns,119714
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,17813894.0,ns,126756
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,18800426.0,ns,133798
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,19796065.0,ns,140840
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,20870418.0,ns,147882
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,21738664.0,ns,154924
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,22720091.0,ns,161966
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,23721211.0,ns,169008
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,24767558.0,ns,176050
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,25693338.0,ns,183092
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,26638358.0,ns,190134
