group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,1141055.0,ns,3206
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,1985336.0,ns,6412
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,3123571.0,ns,9618
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,4345981.0,ns,12824
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,5087539.0,ns,16030
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,6026589.0,ns,19236
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,6951572.0,ns,22442
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,7946112.0,ns,25648
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,8901486.0,ns,28854
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,9935557.0,ns,32060
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,10851408.0,ns,35266
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,11939180.0,ns,38472
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,12929982.0,ns,41678
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,13920854.0,ns,44884
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,14832358.0,ns,48090
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,15805590.0,ns,51296
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,16814150.0,ns,54502
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,17738826.0,ns,57708
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,18822711.0,ns,60914
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,19796398.0,ns,64120
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,20721796.0,ns,67326
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,21787838.0,ns,70532
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,22792025.0,ns,73738
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,23813733.0,ns,76944
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,24693437.0,ns,80150
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,25728452.0,ns,83356
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,26722378.0,ns,86562
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,27782784.0,ns,89768
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,28593592.0,ns,92974
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,29684251.0,ns,96180
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,30790876.0,ns,99386
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,31578304.0,ns,102592
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,32805221.0,ns,105798
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,33561455.0,ns,109004
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,34733754.0,ns,112210
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,35750455.0,ns,115416
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,36593607.0,ns,118622
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,37678228.0,ns,121828
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,38659381.0,ns,125034
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,39650361.0,ns,128240
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,40332498.0,ns,131446
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,41379612.0,ns,134652
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,42638345.0,ns,137858
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,43473525.0,ns,141064
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,44694495.0,ns,144270
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,45586571.0,ns,147476
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,46416581.0,ns,150682
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,47589499.0,ns,153888
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,48774643.0,ns,157094
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,49377950.0,ns,160300
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,50721511.0,ns,163506
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,51373914.0,ns,166712
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,52628559.0,ns,169918
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,53492622.0,ns,173124
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,54338904.0,ns,176330
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,55500290.0,ns,179536
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,56376863.0,ns,182742
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,57702942.0,ns,185948
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,58491042.0,ns,189154
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,59661137.0,ns,192360
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,60353481.0,ns,195566
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,61317046.0,ns,198772
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,62307246.0,ns,201978
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,63325517.0,ns,205184
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,64466499.0,ns,208390
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,65488550.0,ns,211596
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,66157692.0,ns,214802
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,67538261.0,ns,218008
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,68437381.0,ns,221214
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,69261286.0,ns,224420
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,70181690.0,ns,227626
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,71272261.0,ns,230832
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,72387663.0,ns,234038
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,73239693.0,ns,237244
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,74172185.0,ns,240450
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,75148802.0,ns,243656
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,76341751.0,ns,246862
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,77087900.0,ns,250068
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,78027731.0,ns,253274
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,79225905.0,ns,256480
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,80053541.0,ns,259686
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,81298726.0,ns,262892
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,81971946.0,ns,266098
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,83079731.0,ns,269304
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,83880646.0,ns,272510
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,84917324.0,ns,275716
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,86007054.0,ns,278922
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,87065607.0,ns,282128
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,88026344.0,ns,285334
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,89039949.0,ns,288540
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,89919511.0,ns,291746
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,91433762.0,ns,294952
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,92258220.0,ns,298158
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,93151513.0,ns,301364
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,94178616.0,ns,304570
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,95122723.0,ns,307776
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,96356523.0,ns,310982
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,97207862.0,ns,314188
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,98094500.0,ns,317394
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,99026643.0,ns,320600
