group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,1148641.0,ns,5753
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,1979803.0,ns,11506
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,3075128.0,ns,17259
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,3972995.0,ns,23012
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,5362422.0,ns,28765
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,6025083.0,ns,34518
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,6942980.0,ns,40271
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,7899087.0,ns,46024
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,8877176.0,ns,51777
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,9871888.0,ns,57530
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,10887758.0,ns,63283
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,11841698.0,ns,69036
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,12913914.0,ns,74789
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,13829761.0,ns,80542
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,14828652.0,ns,86295
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,15802952.0,ns,92048
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,16842761.0,ns,97801
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,17772340.0,ns,103554
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,18814725.0,ns,109307
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,19773389.0,ns,115060
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,20973538.0,ns,120813
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,21772122.0,ns,126566
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,22838948.0,ns,132319
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,23724327.0,ns,138072
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,24646044.0,ns,143825
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,25748284.0,ns,149578
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,26782012.0,ns,155331
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,27645153.0,ns,161084
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,28788391.0,ns,166837
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,29643725.0,ns,172590
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,30710200.0,ns,178343
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,31763074.0,ns,184096
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,32641326.0,ns,189849
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,33506733.0,ns,195602
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,34673001.0,ns,201355
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,35701317.0,ns,207108
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,36489909.0,ns,212861
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,37492734.0,ns,218614
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,38705043.0,ns,224367
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,39465815.0,ns,230120
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,40502226.0,ns,235873
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,41718745.0,ns,241626
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,42591990.0,ns,247379
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,43514395.0,ns,253132
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,44589572.0,ns,258885
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,45559864.0,ns,264638
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,46493529.0,ns,270391
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,47536139.0,ns,276144
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,48575507.0,ns,281897
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,49390770.0,ns,287650
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,50321652.0,ns,293403
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,51394267.0,ns,299156
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,52572429.0,ns,304909
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,53370496.0,ns,310662
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,54879243.0,ns,316415
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,55343166.0,ns,322168
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,56372864.0,ns,327921
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,57421366.0,ns,333674
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,58163740.0,ns,339427
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,59478625.0,ns,345180
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,60178026.0,ns,350933
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,61331742.0,ns,356686
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,62375601.0,ns,362439
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,63248183.0,ns,368192
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,64123933.0,ns,373945
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,65570047.0,ns,379698
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,66271144.0,ns,385451
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,67277349.0,ns,391204
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,68187449.0,ns,396957
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,69463877.0,ns,402710
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,70292085.0,ns,408463
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,70997054.0,ns,414216
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,72202499.0,ns,419969
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,73082943.0,ns,425722
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,74185255.0,ns,431475
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,75044743.0,ns,437228
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,76250692.0,ns,442981
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,77122227.0,ns,448734
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,78071405.0,ns,454487
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,78855454.0,ns,460240
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,79854415.0,ns,465993
encode/extended/lossy,rust-encoding 0.2.33,96,96,bytes,81035064.0,ns,471746
