group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,yore 0.1.0,384,384,bytes,1160615.0,ns,2047
encode/extended/lossy,yore 0.1.0,384,384,bytes,1989318.0,ns,4094
encode/extended/lossy,yore 0.1.0,384,384,bytes,3096817.0,ns,6141
encode/extended/lossy,yore 0.1.0,384,384,bytes,3959320.0,ns,8188
encode/extended/lossy,yore 0.1.0,384,384,bytes,4950603.0,ns,10235
encode/extended/lossy,yore 0.1.0,384,384,bytes,6024732.0,ns,12282
encode/extended/lossy,yore 0.1.0,384,384,bytes,7041640.0,ns,14329
encode/extended/lossy,yore 0.1.0,384,384,bytes,7934324.0,ns,16376
encode/extended/lossy,yore 0.1.0,384,384,bytes,8873814.0,ns,18423
encode/extended/lossy,yore 0.1.0,384,384,bytes,9885683.0,ns,20470
encode/extended/lossy,yore 0.1.0,384,384,bytes,10793248.0,ns,22517
encode/extended/lossy,yore 0.1.0,384,384,bytes,11771538.0,ns,24564
encode/extended/lossy,yore 0.1.0,384,384,bytes,12753372.0,ns,26611
encode/extended/lossy,yore 0.1.0,384,384,bytes,13759340.0,ns,28658
encode/extended/lossy,yore 0.1.0,384,384,bytes,14871729.0,ns,30705
encode/extended/lossy,yore 0.1.0,384,384,bytes,15894784.0,ns,32752
encode/extended/lossy,yore 0.1.0,384,384,bytes,16942931.0,ns,34799
encode/extended/lossy,yore 0.1.0,384,384,bytes,17860820.0,ns,36846
encode/extended/lossy,yore 0.1.0,384,384,bytes,18680816.0,ns,38893
encode/extended/lossy,yore 0.1.0,384,384,bytes,19585394.0,ns,40940
encode/extended/lossy,yore 0.1.0,384,384,bytes,20637850.0,ns,42987
encode/extended/lossy,yore 0.1.0,384,384,bytes,21805071.0,ns,45034
encode/extended/lossy,yore 0.1.0,384,384,bytes,22773049.0,ns,47081
encode/extended/lossy,yore 0.1.0,384,384,bytes,23882402.0,ns,49128
encode/extended/lossy,yore 0.1.0,384,384,bytes,24667037.0,ns,51175
encode/extended/lossy,yore 0.1.0,384,384,bytes,25733492.0,ns,53222
encode/extended/lossy,yore 0.1.0,384,384,bytes,26986920.0,ns,55269
encode/extended/lossy,yore 0.1.0,384,384,bytes,27760532.0,ns,57316
encode/extended/lossy,yore 0.1.0,384,384,bytes,28742011.0,ns,59363
encode/extended/lossy,yore 0.1.0,384,384,bytes,29387217.0,ns,61410
encode/extended/lossy,yore 0.1.0,384,384,bytes,30561171.0,ns,63457
encode/extended/lossy,yore 0.1.0,384,384,bytes,31453993.0,ns,65504
encode/extended/lossy,yore 0.1.0,384,384,bytes,32527673.0,ns,67551
encode/extended/lossy,yore 0.1.0,384,384,bytes,33442683.0,ns,69598
encode/extended/lossy,yore 0.1.0,384,384,bytes,34418624.0,ns,71645
encode/extended/lossy,yore 0.1.0,384,384,bytes,35308904.0,ns,73692
encode/extended/lossy,yore 0.1.0,384,384,bytes,36371672.0,ns,75739
encode/extended/lossy,yore 0.1.0,384,384,bytes,37673068.0,ns,77786
encode/extended/lossy,yore 0.1.0,384,384,bytes,38741778.0,ns,79833
encode/extended/lossy,yore 0.1.0,384,384,bytes,39490708.0,ns,81880
encode/extended/lossy,yore 0.1.0,384,384,bytes,40579110.0,ns,83927
encode/extended/lossy,yore 0.1.0,384,384,bytes,41213236.0,ns,85974
encode/extended/lossy,yore 0.1.0,384,384,bytes,42143243.0,ns,88021
encode/extended/lossy,yore 0.1.0,384,384,bytes,43589744.0,ns,90068
encode/extended/lossy,yore 0.1.0,384,384,bytes,44724119.0,ns,92115
encode/extended/lossy,yore 0.1.0,384,384,bytes,45488017.0,ns,94162
encode/extended/lossy,yore 0.1.0,384,384,bytes,46062621.0,ns,96209
encode/extended/lossy,yore 0.1.0,384,384,bytes,47486714.0,ns,98256
encode/extended/lossy,yore 0.1.0,384,384,bytes,48265159.0,ns,100303
encode/extended/lossy,yore 0.1.0,384,384,bytes,49721968.0,ns,102350
encode/extended/lossy,yore 0.1.0,384,384,bytes,50734281.0,ns,104397
encode/extended/lossy,yore 0.1.0,384,384,bytes,67748995.0,ns,106444
encode/extended/lossy,yore 0.1.0,384,384,bytes,53217843.0,ns,108491
encode/extended/lossy,yore 0.1.0,384,384,bytes,54235532.0,ns,110538
encode/extended/lossy,yore 0.1.0,384,384,bytes,54917993.0,ns,112585
encode/extended/lossy,yore 0.1.0,384,384,bytes,55202941.0,ns,114632
encode/extended/lossy,yore 0.1.0,384,384,bytes,56245932.0,ns,116679
encode/extended/lossy,yore 0.1.0,384,384,bytes,57236830.0,ns,118726
encode/extended/lossy,yore 0.1.0,384,384,bytes,58617066.0,ns,120773
encode/extended/lossy,yore 0.1.0,384,384,bytes,59625673.0,ns,122820
encode/extended/lossy,yore 0.1.0,384,384,bytes,60061122.0,ns,124867
encode/extended/lossy,yore 0.1.0,384,384,bytes,61373497.0,ns,126914
encode/extended/lossy,yore 0.1.0,384,384,bytes,62383490.0,ns,128961
encode/extended/lossy,yore 0.1.0,384,384,bytes,63227684.0,ns,131008
encode/extended/lossy,yore 0.1.0,384,384,bytes,64322325.0,ns,133055
encode/extended/lossy,yore 0.1.0,384,384,bytes,65343059.0,ns,135102
encode/extended/lossy,yore 0.1.0,384,384,bytes,66303001.0,ns,137149
encode/extended/lossy,yore 0.1.0,384,384,bytes,67325766.0,ns,139196
encode/extended/lossy,yore 0.1.0,384,384,bytes,68733357.0,ns,141243
encode/extended/lossy,yore 0.1.0,384,384,bytes,69310338.0,ns,143290
encode/extended/lossy,yore 0.1.0,384,384,bytes,69944670.0,ns,145337
encode/extended/lossy,yore 0.1.0,384,384,bytes,71268010.0,ns,147384
encode/extended/lossy,yore 0.1.0,384,384,bytes,72001662.0,ns,149431
encode/extended/lossy,yore 0.1.0,384,384,bytes,73123092.0,ns,151478
encode/extended/lossy,yore 0.1.0,384,384,bytes,74581736.0,ns,153525
encode/extended/lossy,yore 0.1.0,384,384,bytes,75335988.0,ns,155572
encode/extended/lossy,yore 0.1.0,384,384,bytes,76356258.0,ns,157619
encode/extended/lossy,yore 0.1.0,384,384,bytes,77566671.0,ns,159666
encode/extended/lossy,yore 0.1.0,384,384,bytes,77909619.0,ns,161713
encode/extended/lossy,yore 0.1.0,384,384,bytes,79427630.0,ns,163760
encode/extended/lossy,yore 0.1.0,384,384,bytes,80619885.0,ns,165807
encode/extended/lossy,yore 0.1.0,384,384,bytes,80686201.0,ns,167854
encode/extended/lossy,yore 0.1.0,384,384,bytes,82461014.0,ns,169901
encode/extended/lossy,yore 0.1.0,384,384,bytes,82825599.0,ns,171948
encode/extended/lossy,yore 0.1.0,384,384,bytes,84298836.0,ns,173995
encode/extended/lossy,yore 0.1.0,384,384,bytes,84818719.0,ns,176042
encode/extended/lossy,yore 0.1.0,384,384,bytes,86107950.0,ns,178089
encode/extended/lossy,yore 0.1.0,384,384,bytes,86586578.0,ns,180136
encode/extended/lossy,yore 0.1.0,384,384,bytes,87237423.0,ns,182183
encode/extended/lossy,yore 0.1.0,384,384,bytes,89627574.0,ns,184230
encode/extended/lossy,yore 0.1.0,384,384,bytes,89987627.0,ns,186277
encode/extended/lossy,yore 0.1.0,384,384,bytes,91330072.0,ns,188324
encode/extended/lossy,yore 0.1.0,384,384,bytes,92304249.0,ns,190371
encode/extended/lossy,yore 0.1.0,384,384,bytes,93967028.0,ns,192418
encode/extended/lossy,yore 0.1.0,384,384,bytes,94182856.0,ns,194465
encode/extended/lossy,yore 0.1.0,384,384,bytes,98304982.0,ns,196512
encode/extended/lossy,yore 0.1.0,384,384,bytes,95906805.0,ns,198559
encode/extended/lossy,yore 0.1.0,384,384,bytes,97112404.0,ns,200606
encode/extended/lossy,yore 0.1.0,384,384,bytes,97889143.0,ns,202653
encode/extended/lossy,yore 0.1.0,384,384,bytes,98355173.0,ns,204700
