group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,941969.0,ns,59
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,1868082.0,ns,118
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,2794565.0,ns,177
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,3686963.0,ns,236
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,4622170.0,ns,295
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,5611143.0,ns,354
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,6410527.0,ns,413
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,7689730.0,ns,472
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,8274236.0,ns,531
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,9421696.0,ns,590
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,10348150.0,ns,649
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,10961835.0,ns,708
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,11992062.0,ns,767
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,12767967.0,ns,826
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,13759554.0,ns,885
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,14813692.0,ns,944
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,15636018.0,ns,1003
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,16656256.0,ns,1062
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,17578307.0,ns,1121
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,18335427.0,ns,1180
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,20340031.0,ns,1239
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,20348809.0,ns,1298
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,21615442.0,ns,1357
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,21888372.0,ns,1416
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,22931824.0,ns,1475
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,24245050.0,ns,1534
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,24837341.0,ns,1593
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,25453246.0,ns,1652
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,26544862.0,ns,1711
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,27550138.0,ns,1770
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,28583307.0,ns,1829
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,29166992.0,ns,1888
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,30917772.0,ns,1947
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,30967101.0,ns,2006
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,31813976.0,ns,2065
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,33108848.0,ns,2124
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,34789433.0,ns,2183
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,34770874.0,ns,2242
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,35580414.0,ns,2301
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,36414128.0,ns,2360
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,38071823.0,ns,2419
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,38761481.0,ns,2478
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,39314224.0,ns,2537
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,40531283.0,ns,2596
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,41818393.0,ns,2655
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,42369583.0,ns,2714
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,43398249.0,ns,2773
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,45213074.0,ns,2832
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,45343913.0,ns,2891
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,46261677.0,ns,2950
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,47696805.0,ns,3009
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,48069300.0,ns,3068
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,49420554.0,ns,3127
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,49805779.0,ns,3186
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,50962266.0,ns,3245
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,51678368.0,ns,3304
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,52502537.0,ns,3363
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,53641110.0,ns,3422
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,53894964.0,ns,3481
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,55382646.0,ns,3540
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,56110543.0,ns,3599
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,56850239.0,ns,3658
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,58217166.0,ns,3717
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,58780883.0,ns,3776
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,60077331.0,ns,3835
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,60710207.0,ns,3894
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,61906340.0,ns,3953
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,63359271.0,ns,4012
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,63805160.0,ns,4071
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,64754871.0,ns,4130
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,65588038.0,ns,4189
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,66159626.0,ns,4248
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,67800662.0,ns,4307
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,67946746.0,ns,4366
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,69132541.0,ns,4425
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,69653387.0,ns,4484
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,70639660.0,ns,4543
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,72333817.0,ns,4602
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,73000747.0,ns,4661
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,74064032.0,ns,4720
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,74675340.0,ns,4779
encode_lossy/all_bad,encoding_rs* 0.8.28,1024,1024,bytes,75912297.0,ns,4838
