group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,889205.0,ns,220
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,1752193.0,ns,440
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,2594782.0,ns,660
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,3544888.0,ns,880
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,4470004.0,ns,1100
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,5197009.0,ns,1320
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,6157584.0,ns,1540
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,7599564.0,ns,1760
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,8592691.0,ns,1980
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,8913240.0,ns,2200
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,9888011.0,ns,2420
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,10724700.0,ns,2640
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,11585207.0,ns,2860
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,12552460.0,ns,3080
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,13304191.0,ns,3300
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,14173072.0,ns,3520
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,15164906.0,ns,3740
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,16515753.0,ns,3960
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,16925966.0,ns,4180
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,17962904.0,ns,4400
encode_lossy/all_bad,encoding_rs* 0.8.28,256,256,bytes,18658340.0,ns,4620
