group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,967872.0,ns,2383
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,1865714.0,ns,4766
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,2794991.0,ns,7149
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,3724231.0,ns,9532
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,4734192.0,ns,11915
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,5708122.0,ns,14298
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,6826137.0,ns,16681
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,7507056.0,ns,19064
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,8487229.0,ns,21447
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,9560605.0,ns,23830
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,10330824.0,ns,26213
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,11264771.0,ns,28596
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,12259355.0,ns,30979
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,13001933.0,ns,33362
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,14179273.0,ns,35745
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,15282647.0,ns,38128
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,16197489.0,ns,40511
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,16706955.0,ns,42894
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,17990564.0,ns,45277
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,18576992.0,ns,47660
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,19628595.0,ns,50043
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,20432387.0,ns,52426
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,21527934.0,ns,54809
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,22659338.0,ns,57192
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,23854491.0,ns,59575
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,24701759.0,ns,61958
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,25278422.0,ns,64341
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,26192569.0,ns,66724
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,27122345.0,ns,69107
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,28094670.0,ns,71490
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,29338535.0,ns,73873
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,30111726.0,ns,76256
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,30768807.0,ns,78639
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,31847513.0,ns,81022
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,32875290.0,ns,83405
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,34274382.0,ns,85788
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,34810011.0,ns,88171
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,35652107.0,ns,90554
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,37213363.0,ns,92937
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,37410955.0,ns,95320
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,38412896.0,ns,97703
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,39228662.0,ns,100086
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,40241320.0,ns,102469
encode_lossy/all_bad,oem_cp 1.1.0,64,64,bytes,41165935.0,ns,104852
