group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,808505.0,ns,10995
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,1598687.0,ns,21990
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,2554717.0,ns,32985
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,3193241.0,ns,43980
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,4021623.0,ns,54975
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,4759951.0,ns,65970
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,5911111.0,ns,76965
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,6349307.0,ns,87960
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,7336267.0,ns,98955
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,7971458.0,ns,109950
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,8711724.0,ns,120945
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,9771198.0,ns,131940
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,10390619.0,ns,142935
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,11272329.0,ns,153930
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,12037511.0,ns,164925
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,12718329.0,ns,175920
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,13650886.0,ns,186915
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,14727102.0,ns,197910
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,15443729.0,ns,208905
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,16076248.0,ns,219900
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,16963188.0,ns,230895
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,17678995.0,ns,241890
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,18338575.0,ns,252885
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,19327606.0,ns,263880
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,20112012.0,ns,274875
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,20961796.0,ns,285870
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,21586322.0,ns,296865
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,22345142.0,ns,307860
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,23297420.0,ns,318855
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,24115449.0,ns,329850
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,24902738.0,ns,340845
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,25425081.0,ns,351840
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,26302150.0,ns,362835
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,27331284.0,ns,373830
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,27999900.0,ns,384825
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,29202217.0,ns,395820
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,29272137.0,ns,406815
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,30593639.0,ns,417810
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,31280446.0,ns,428805
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,31780418.0,ns,439800
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,32879203.0,ns,450795
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,33563093.0,ns,461790
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,33995406.0,ns,472785
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,35152191.0,ns,483780
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,35785968.0,ns,494775
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,36852538.0,ns,505770
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,37716569.0,ns,516765
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,38724720.0,ns,527760
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,38918919.0,ns,538755
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,40483919.0,ns,549750
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,41025868.0,ns,560745
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,41871027.0,ns,571740
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,42295512.0,ns,582735
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,42951843.0,ns,593730
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,44094031.0,ns,604725
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,44475775.0,ns,615720
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,45685073.0,ns,626715
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,46399903.0,ns,637710
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,46838203.0,ns,648705
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,48204520.0,ns,659700
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,48768473.0,ns,670695
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,50407206.0,ns,681690
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,50298098.0,ns,692685
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,51342593.0,ns,703680
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,51868958.0,ns,714675
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,52357190.0,ns,725670
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,53621713.0,ns,736665
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,54599984.0,ns,747660
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,54831533.0,ns,758655
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,55857863.0,ns,769650
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,57517849.0,ns,780645
encode_lossy/all_bad,oem_cp 1.1.0,8,8,bytes,57289909.0,ns,791640
