group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,1008624.0,ns,138
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,1967892.0,ns,276
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,2984369.0,ns,414
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,4098073.0,ns,552
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,4927977.0,ns,690
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,5878776.0,ns,828
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,7238142.0,ns,966
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,7921131.0,ns,1104
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,9233860.0,ns,1242
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,9868437.0,ns,1380
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,10869736.0,ns,1518
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,11856067.0,ns,1656
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,12910028.0,ns,1794
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,13771236.0,ns,1932
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,15151706.0,ns,2070
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,15942505.0,ns,2208
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,16895119.0,ns,2346
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,17729407.0,ns,2484
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,18821181.0,ns,2622
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,19853431.0,ns,2760
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,20616883.0,ns,2898
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,21772258.0,ns,3036
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,22749572.0,ns,3174
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,23555133.0,ns,3312
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,24658770.0,ns,3450
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,25808034.0,ns,3588
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,26672967.0,ns,3726
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,27486568.0,ns,3864
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,28590786.0,ns,4002
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,29696938.0,ns,4140
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,30655493.0,ns,4278
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,31621212.0,ns,4416
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,32783838.0,ns,4554
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,33541016.0,ns,4692
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,35271870.0,ns,4830
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,35535703.0,ns,4968
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,36587162.0,ns,5106
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,37610694.0,ns,5244
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,38690518.0,ns,5382
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,39393864.0,ns,5520
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,40506317.0,ns,5658
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,41500794.0,ns,5796
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,42597897.0,ns,5934
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,43456110.0,ns,6072
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,44338277.0,ns,6210
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,46477361.0,ns,6348
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,47255532.0,ns,6486
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,47514367.0,ns,6624
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,48829593.0,ns,6762
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,49432613.0,ns,6900
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,50446599.0,ns,7038
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,51601617.0,ns,7176
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,52337100.0,ns,7314
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,53221029.0,ns,7452
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,54123265.0,ns,7590
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,55279343.0,ns,7728
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,56326914.0,ns,7866
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,57125748.0,ns,8004
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,58161092.0,ns,8142
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,59304660.0,ns,8280
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,60416432.0,ns,8418
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,61525080.0,ns,8556
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,62046067.0,ns,8694
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,63191830.0,ns,8832
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,64496162.0,ns,8970
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,65111799.0,ns,9108
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,66103725.0,ns,9246
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,67078154.0,ns,9384
encode_lossy/all_bad,yore 0.3.0,2048,2048,bytes,68253728.0,ns,9522
