group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,702982.0,ns,14727
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,1389317.0,ns,29454
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,2077351.0,ns,44181
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,2771050.0,ns,58908
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,3713735.0,ns,73635
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,4296932.0,ns,88362
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,4844206.0,ns,103089
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,5555559.0,ns,117816
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,6302269.0,ns,132543
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,7092888.0,ns,147270
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,7626352.0,ns,161997
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,8263699.0,ns,176724
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,9121515.0,ns,191451
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,9896333.0,ns,206178
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,10363093.0,ns,220905
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,11157871.0,ns,235632
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,11738717.0,ns,250359
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,12630032.0,ns,265086
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,13098635.0,ns,279813
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,14013899.0,ns,294540
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,14512505.0,ns,309267
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,15425085.0,ns,323994
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,15893532.0,ns,338721
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,16745676.0,ns,353448
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,17402523.0,ns,368175
encode_lossy/all_bad,yore 0.3.0,8,8,bytes,17964161.0,ns,382902
