group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,1121250.0,ns,11962
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,1965381.0,ns,23924
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,3208493.0,ns,35886
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,4670897.0,ns,47848
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,5169575.0,ns,59810
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,6015342.0,ns,71772
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,6931159.0,ns,83734
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,7882142.0,ns,95696
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,8884083.0,ns,107658
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,9897564.0,ns,119620
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,10847877.0,ns,131582
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,11905855.0,ns,143544
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,12821125.0,ns,155506
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,13813576.0,ns,167468
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,14852862.0,ns,179430
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,15894049.0,ns,191392
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,16808244.0,ns,203354
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,17794197.0,ns,215316
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,18729213.0,ns,227278
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,19836576.0,ns,239240
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,20726112.0,ns,251202
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,21745150.0,ns,263164
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,22713883.0,ns,275126
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,23703646.0,ns,287088
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,24809266.0,ns,299050
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,25696674.0,ns,311012
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,26699389.0,ns,322974
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,27732549.0,ns,334936
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,28696352.0,ns,346898
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,29711642.0,ns,358860
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,30707552.0,ns,370822
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,31552410.0,ns,382784
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,32678900.0,ns,394746
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,33644617.0,ns,406708
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,34628634.0,ns,418670
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,35746242.0,ns,430632
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,36650658.0,ns,442594
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,37627258.0,ns,454556
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,38504682.0,ns,466518
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,39606313.0,ns,478480
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,40512793.0,ns,490442
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,41544133.0,ns,502404
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,42551776.0,ns,514366
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,43543998.0,ns,526328
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,44520476.0,ns,538290
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,45476685.0,ns,550252
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,46519508.0,ns,562214
