group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,1068433.0,ns,7633
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,1978512.0,ns,15266
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,3000236.0,ns,22899
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,3967085.0,ns,30532
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,5109256.0,ns,38165
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,5970539.0,ns,45798
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,6918081.0,ns,53431
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,7920850.0,ns,61064
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,8945040.0,ns,68697
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,9776961.0,ns,76330
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,10865520.0,ns,83963
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,11846601.0,ns,91596
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,12898696.0,ns,99229
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,13853867.0,ns,106862
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,14904065.0,ns,114495
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,15880808.0,ns,122128
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,16768981.0,ns,129761
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,17734540.0,ns,137394
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,18681816.0,ns,145027
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,19938526.0,ns,152660
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,20767121.0,ns,160293
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,21733364.0,ns,167926
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,22809232.0,ns,175559
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,23847603.0,ns,183192
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,24837037.0,ns,190825
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,25826137.0,ns,198458
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,26704557.0,ns,206091
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,27754898.0,ns,213724
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,28797338.0,ns,221357
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,29998592.0,ns,228990
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,30628107.0,ns,236623
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,31676509.0,ns,244256
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,32845126.0,ns,251889
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,33841863.0,ns,259522
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,34619180.0,ns,267155
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,35586988.0,ns,274788
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,36516195.0,ns,282421
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,37657790.0,ns,290054
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,46029334.0,ns,297687
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,39920688.0,ns,305320
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,41314643.0,ns,312953
