group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,1146134.0,ns,4608
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,2013758.0,ns,9216
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,3143818.0,ns,13824
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,4210460.0,ns,18432
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,5024774.0,ns,23040
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,5992826.0,ns,27648
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,6835920.0,ns,32256
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,7864447.0,ns,36864
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,8900880.0,ns,41472
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,9919882.0,ns,46080
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,10912797.0,ns,50688
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,11931613.0,ns,55296
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,12893106.0,ns,59904
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,13832868.0,ns,64512
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,14708034.0,ns,69120
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,15879737.0,ns,73728
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,16794967.0,ns,78336
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,17741998.0,ns,82944
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,18855696.0,ns,87552
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,19732580.0,ns,92160
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,20825398.0,ns,96768
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,21817947.0,ns,101376
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,22679862.0,ns,105984
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,23722557.0,ns,110592
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,24867140.0,ns,115200
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,25618043.0,ns,119808
encode/middle_bad/checked,rust-encoding 0.2.33,240,240,bytes,26753628.0,ns,124416
