group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,1141676.0,ns,9577
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,1987564.0,ns,19154
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,3181896.0,ns,28731
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,4013777.0,ns,38308
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,5571249.0,ns,47885
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,6178006.0,ns,57462
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,6936404.0,ns,67039
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,7931343.0,ns,76616
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,8860877.0,ns,86193
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,9797453.0,ns,95770
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,10941356.0,ns,105347
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,11861722.0,ns,114924
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,12809165.0,ns,124501
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,13896223.0,ns,134078
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,14894263.0,ns,143655
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,15882268.0,ns,153232
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,16694772.0,ns,162809
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,17865225.0,ns,172386
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,18750262.0,ns,181963
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,19854168.0,ns,191540
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,20819601.0,ns,201117
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,21799370.0,ns,210694
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,22802874.0,ns,220271
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,23705788.0,ns,229848
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,24675775.0,ns,239425
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,25645247.0,ns,249002
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,26720352.0,ns,258579
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,27612200.0,ns,268156
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,28568344.0,ns,277733
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,29625326.0,ns,287310
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,30535156.0,ns,296887
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,31532796.0,ns,306464
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,32761759.0,ns,316041
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,33574964.0,ns,325618
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,34642515.0,ns,335195
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,35800212.0,ns,344772
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,36423572.0,ns,354349
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,37499590.0,ns,363926
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,38511217.0,ns,373503
encode/middle_bad/checked,yore 0.1.0,120,120,bytes,39519256.0,ns,383080
