group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,1119107.0,ns,4994
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,1972133.0,ns,9988
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,3170597.0,ns,14982
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,4642618.0,ns,19976
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,5243529.0,ns,24970
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,5945482.0,ns,29964
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,7027305.0,ns,34958
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,7902968.0,ns,39952
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,8890878.0,ns,44946
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,9876846.0,ns,49940
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,10913785.0,ns,54934
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,11903139.0,ns,59928
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,12838813.0,ns,64922
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,13889451.0,ns,69916
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,14826482.0,ns,74910
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,15807053.0,ns,79904
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,16854554.0,ns,84898
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,17762572.0,ns,89892
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,18783535.0,ns,94886
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,19769362.0,ns,99880
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,20945595.0,ns,104874
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,21743162.0,ns,109868
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,22697502.0,ns,114862
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,23726111.0,ns,119856
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,24722814.0,ns,124850
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,25747534.0,ns,129844
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,26726980.0,ns,134838
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,27661110.0,ns,139832
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,28612233.0,ns,144826
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,29602242.0,ns,149820
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,30599776.0,ns,154814
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,31617827.0,ns,159808
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,32861655.0,ns,164802
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,33616244.0,ns,169796
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,34924547.0,ns,174790
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,35920877.0,ns,179784
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,36642614.0,ns,184778
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,37553139.0,ns,189772
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,38813118.0,ns,194766
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,39752397.0,ns,199760
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,40580516.0,ns,204754
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,41551853.0,ns,209748
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,42480396.0,ns,214742
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,43454530.0,ns,219736
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,44552921.0,ns,224730
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,45494927.0,ns,229724
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,46522131.0,ns,234718
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,47522148.0,ns,239712
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,48665500.0,ns,244706
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,49345014.0,ns,249700
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,50450109.0,ns,254694
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,51436905.0,ns,259688
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,52663533.0,ns,264682
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,53370376.0,ns,269676
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,54359257.0,ns,274670
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,55374587.0,ns,279664
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,56835828.0,ns,284658
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,57332549.0,ns,289652
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,58286467.0,ns,294646
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,59500242.0,ns,299640
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,60581909.0,ns,304634
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,61259358.0,ns,309628
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,62195640.0,ns,314622
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,63253211.0,ns,319616
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,64452762.0,ns,324610
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,65216888.0,ns,329604
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,66766729.0,ns,334598
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,67343122.0,ns,339592
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,68237407.0,ns,344586
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,69307141.0,ns,349580
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,70173710.0,ns,354574
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,71199504.0,ns,359568
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,72224228.0,ns,364562
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,73420307.0,ns,369556
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,74139807.0,ns,374550
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,75174325.0,ns,379544
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,76147682.0,ns,384538
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,77484725.0,ns,389532
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,78194820.0,ns,394526
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,79339283.0,ns,399520
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,79989816.0,ns,404514
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,81106808.0,ns,409508
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,82028123.0,ns,414502
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,83264756.0,ns,419496
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,84174204.0,ns,424490
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,85076569.0,ns,429484
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,85950371.0,ns,434478
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,86992967.0,ns,439472
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,87981928.0,ns,444466
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,88864524.0,ns,449460
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,90088301.0,ns,454454
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,90964699.0,ns,459448
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,91936141.0,ns,464442
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,92986300.0,ns,469436
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,93787443.0,ns,474430
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,94953238.0,ns,479424
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,96047962.0,ns,484418
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,96739049.0,ns,489412
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,98296388.0,ns,494406
encode/middle_bad/checked,yore 0.1.0,240,240,bytes,98873428.0,ns,499400
