group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,1105886.0,ns,3193
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,1938671.0,ns,6386
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,3051156.0,ns,9579
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,4204562.0,ns,12772
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,5044637.0,ns,15965
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,5976527.0,ns,19158
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,6925105.0,ns,22351
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,7914427.0,ns,25544
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,8908000.0,ns,28737
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,9947738.0,ns,31930
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,10891438.0,ns,35123
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,11867260.0,ns,38316
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,12859927.0,ns,41509
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,13858747.0,ns,44702
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,14831614.0,ns,47895
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,15831919.0,ns,51088
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,16831300.0,ns,54281
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,17817473.0,ns,57474
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,18803798.0,ns,60667
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,19800735.0,ns,63860
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,20798169.0,ns,67053
encode/middle_bad/lossy,oem_cp 1.1.0,120,120,bytes,21912290.0,ns,70246
