group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,1148096.0,ns,1702
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,1977771.0,ns,3404
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,3099138.0,ns,5106
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,4160810.0,ns,6808
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,5013706.0,ns,8510
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,5934809.0,ns,10212
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,6916342.0,ns,11914
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,7901692.0,ns,13616
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,8888231.0,ns,15318
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,9890709.0,ns,17020
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,10862985.0,ns,18722
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,11917047.0,ns,20424
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,12852994.0,ns,22126
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,13896849.0,ns,23828
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,14828003.0,ns,25530
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,15853840.0,ns,27232
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,16818261.0,ns,28934
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,17788107.0,ns,30636
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,18760684.0,ns,32338
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,19780107.0,ns,34040
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,20799809.0,ns,35742
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,21754777.0,ns,37444
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,22727961.0,ns,39146
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,23749353.0,ns,40848
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,24722699.0,ns,42550
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,25751885.0,ns,44252
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,26734467.0,ns,45954
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,27665613.0,ns,47656
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,28640502.0,ns,49358
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,29668753.0,ns,51060
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,30717005.0,ns,52762
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,31900667.0,ns,54464
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,32727116.0,ns,56166
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,33725041.0,ns,57868
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,34725269.0,ns,59570
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,35648861.0,ns,61272
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,36583605.0,ns,62974
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,37687481.0,ns,64676
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,38668604.0,ns,66378
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,39545273.0,ns,68080
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,40672780.0,ns,69782
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,41522322.0,ns,71484
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,42565875.0,ns,73186
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,43723997.0,ns,74888
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,44559869.0,ns,76590
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,45488099.0,ns,78292
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,46586637.0,ns,79994
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,47454714.0,ns,81696
encode/middle_bad/lossy,oem_cp 1.1.0,240,240,bytes,48409825.0,ns,83398
