group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,1139528.0,ns,1346
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,1958750.0,ns,2692
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,3047074.0,ns,4038
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,3938516.0,ns,5384
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,5010649.0,ns,6730
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,6007058.0,ns,8076
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,7027736.0,ns,9422
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,7949858.0,ns,10768
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,8906880.0,ns,12114
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,9906519.0,ns,13460
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,10848402.0,ns,14806
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,11941110.0,ns,16152
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,12935742.0,ns,17498
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,13932149.0,ns,18844
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,14862929.0,ns,20190
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,15885701.0,ns,21536
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,16782474.0,ns,22882
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,17800236.0,ns,24228
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,18790739.0,ns,25574
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,19715547.0,ns,26920
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,20784524.0,ns,28266
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,21808736.0,ns,29612
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,22610086.0,ns,30958
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,23722346.0,ns,32304
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,24674163.0,ns,33650
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,25923561.0,ns,34996
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,26627870.0,ns,36342
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,27592129.0,ns,37688
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,28687647.0,ns,39034
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,29730955.0,ns,40380
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,30675965.0,ns,41726
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,34349018.0,ns,43072
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,32785172.0,ns,44418
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,33606028.0,ns,45764
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,35743347.0,ns,47110
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,35805403.0,ns,48456
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,36475960.0,ns,49802
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,37770243.0,ns,51148
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,38664669.0,ns,52494
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,39689543.0,ns,53840
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,40652748.0,ns,55186
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,41619835.0,ns,56532
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,42495105.0,ns,57878
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,43552505.0,ns,59224
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,44983020.0,ns,60570
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,45666110.0,ns,61916
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,46487333.0,ns,63262
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,47448286.0,ns,64608
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,48626820.0,ns,65954
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,49461824.0,ns,67300
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,50410760.0,ns,68646
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,51526586.0,ns,69992
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,52428272.0,ns,71338
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,53298028.0,ns,72684
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,54572790.0,ns,74030
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,55481011.0,ns,75376
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,56393397.0,ns,76722
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,57383984.0,ns,78068
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,58329404.0,ns,79414
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,59505932.0,ns,80760
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,60390780.0,ns,82106
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,61468626.0,ns,83452
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,62127167.0,ns,84798
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,63401688.0,ns,86144
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,65171657.0,ns,87490
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,65124164.0,ns,88836
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,66353253.0,ns,90182
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,67070025.0,ns,91528
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,68355415.0,ns,92874
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,69173827.0,ns,94220
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,70213490.0,ns,95566
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,71273252.0,ns,96912
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,72163155.0,ns,98258
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,73072222.0,ns,99604
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,74303422.0,ns,100950
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,75111798.0,ns,102296
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,76149541.0,ns,103642
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,77040121.0,ns,104988
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,78282895.0,ns,106334
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,79187799.0,ns,107680
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,80178156.0,ns,109026
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,80889829.0,ns,110372
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,82186956.0,ns,111718
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,83027731.0,ns,113064
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,84461244.0,ns,114410
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,85117095.0,ns,115756
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,85871542.0,ns,117102
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,87116615.0,ns,118448
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,87945885.0,ns,119794
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,89130229.0,ns,121140
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,90101654.0,ns,122486
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,91051602.0,ns,123832
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,91884653.0,ns,125178
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,92778014.0,ns,126524
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,93715617.0,ns,127870
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,95101498.0,ns,129216
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,95786853.0,ns,130562
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,96960890.0,ns,131908
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,98031144.0,ns,133254
encode/middle_bad/lossy,rust-encoding 0.2.33,480,480,bytes,98981824.0,ns,134600
