group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,1144780.0,ns,6666
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,1978992.0,ns,13332
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,3145470.0,ns,19998
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,3942351.0,ns,26664
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,5613410.0,ns,33330
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,6162272.0,ns,39996
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,6908253.0,ns,46662
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,7897054.0,ns,53328
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,8888195.0,ns,59994
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,9950872.0,ns,66660
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,10853496.0,ns,73326
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,11866651.0,ns,79992
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,12837895.0,ns,86658
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,13820807.0,ns,93324
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,14813406.0,ns,99990
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,15792572.0,ns,106656
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,16809730.0,ns,113322
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,17845544.0,ns,119988
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,18833529.0,ns,126654
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,19750414.0,ns,133320
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,20773311.0,ns,139986
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,21829785.0,ns,146652
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,22765846.0,ns,153318
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,23670800.0,ns,159984
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,24771587.0,ns,166650
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,25728650.0,ns,173316
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,26710505.0,ns,179982
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,27722637.0,ns,186648
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,28619693.0,ns,193314
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,29631100.0,ns,199980
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,30649077.0,ns,206646
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,31850857.0,ns,213312
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,32535674.0,ns,219978
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,33613346.0,ns,226644
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,34562156.0,ns,233310
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,35599246.0,ns,239976
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,36466995.0,ns,246642
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,37596639.0,ns,253308
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,38665594.0,ns,259974
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,39619173.0,ns,266640
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,40450085.0,ns,273306
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,41512033.0,ns,279972
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,42543136.0,ns,286638
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,43448661.0,ns,293304
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,44780571.0,ns,299970
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,45471089.0,ns,306636
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,46389100.0,ns,313302
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,47355591.0,ns,319968
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,48334273.0,ns,326634
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,49532953.0,ns,333300
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,50445961.0,ns,339966
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,51353353.0,ns,346632
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,52262336.0,ns,353298
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,53403404.0,ns,359964
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,54520195.0,ns,366630
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,55255320.0,ns,373296
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,56335451.0,ns,379962
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,57316520.0,ns,386628
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,58374819.0,ns,393294
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,59361561.0,ns,399960
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,60275416.0,ns,406626
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,61242762.0,ns,413292
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,62253390.0,ns,419958
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,63387368.0,ns,426624
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,64153417.0,ns,433290
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,65312733.0,ns,439956
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,66211418.0,ns,446622
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,67505641.0,ns,453288
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,68237736.0,ns,459954
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,69118775.0,ns,466620
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,70424794.0,ns,473286
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,70996694.0,ns,479952
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,72457477.0,ns,486618
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,73233845.0,ns,493284
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,74265448.0,ns,499950
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,75116867.0,ns,506616
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,76356416.0,ns,513282
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,78246647.0,ns,519948
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,78014810.0,ns,526614
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,80032074.0,ns,533280
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,80296371.0,ns,539946
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,81340180.0,ns,546612
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,82091205.0,ns,553278
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,83277564.0,ns,559944
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,84074058.0,ns,566610
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,85019149.0,ns,573276
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,86029958.0,ns,579942
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,87161135.0,ns,586608
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,87875242.0,ns,593274
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,89229535.0,ns,599940
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,89902574.0,ns,606606
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,91107707.0,ns,613272
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,92054879.0,ns,619938
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,92919234.0,ns,626604
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,94119056.0,ns,633270
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,95172189.0,ns,639936
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,96029313.0,ns,646602
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,97023817.0,ns,653268
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,98060850.0,ns,659934
encode/middle_bad/lossy,yore 0.1.0,120,120,bytes,98897244.0,ns,666600
