group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,1115981.0,ns,12302
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,1968352.0,ns,24604
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,3095011.0,ns,36906
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,4200933.0,ns,49208
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,5035137.0,ns,61510
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,5953442.0,ns,73812
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,6926604.0,ns,86114
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,7863037.0,ns,98416
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,8846606.0,ns,110718
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,9843436.0,ns,123020
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,10852448.0,ns,135322
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,11817799.0,ns,147624
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,12921940.0,ns,159926
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,13934907.0,ns,172228
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,14832988.0,ns,184530
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,15811697.0,ns,196832
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,16712540.0,ns,209134
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,17869491.0,ns,221436
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,18955166.0,ns,233738
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,19747533.0,ns,246040
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,20841599.0,ns,258342
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,21661962.0,ns,270644
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,22821150.0,ns,282946
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,23644598.0,ns,295248
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,24649658.0,ns,307550
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,25715143.0,ns,319852
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,26637615.0,ns,332154
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,27694634.0,ns,344456
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,28918496.0,ns,356758
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,29777257.0,ns,369060
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,30769702.0,ns,381362
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,31628043.0,ns,393664
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,32676103.0,ns,405966
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,33682999.0,ns,418268
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,34511323.0,ns,430570
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,35545829.0,ns,442872
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,36602114.0,ns,455174
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,37599559.0,ns,467476
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,38595221.0,ns,479778
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,39546950.0,ns,492080
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,40354114.0,ns,504382
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,41366501.0,ns,516684
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,42487062.0,ns,528986
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,43582323.0,ns,541288
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,44531434.0,ns,553590
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,45546589.0,ns,565892
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,46453888.0,ns,578194
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,47350941.0,ns,590496
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,48567326.0,ns,602798
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,49294973.0,ns,615100
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,50226587.0,ns,627402
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,51352114.0,ns,639704
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,52418987.0,ns,652006
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,53580874.0,ns,664308
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,54430668.0,ns,676610
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,55153166.0,ns,688912
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,56234312.0,ns,701214
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,57183512.0,ns,713516
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,58473981.0,ns,725818
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,59385350.0,ns,738120
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,60333567.0,ns,750422
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,61372901.0,ns,762724
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,62214327.0,ns,775026
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,63394036.0,ns,787328
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,64183099.0,ns,799630
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,64936597.0,ns,811932
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,66567094.0,ns,824234
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,66973888.0,ns,836536
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,68211902.0,ns,848838
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,69201000.0,ns,861140
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,70428948.0,ns,873442
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,71179007.0,ns,885744
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,72181911.0,ns,898046
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,73226522.0,ns,910348
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,74060763.0,ns,922650
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,75144741.0,ns,934952
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,76007540.0,ns,947254
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,77021807.0,ns,959556
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,77944859.0,ns,971858
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,79277068.0,ns,984160
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,80429365.0,ns,996462
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,81001167.0,ns,1008764
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,82191070.0,ns,1021066
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,82974255.0,ns,1033368
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,84004978.0,ns,1045670
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,84826985.0,ns,1057972
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,86265398.0,ns,1070274
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,86990441.0,ns,1082576
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,88195919.0,ns,1094878
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,89189602.0,ns,1107180
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,90139930.0,ns,1119482
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,91307065.0,ns,1131784
